"Entity[33982] Report(G000000)", , , , , ,"Entity[33982] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(00100)", ,"280624"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(00400)", ,"595210"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(00800)", ,"3096"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(01100)", ,"878930"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(01900)", ,"3857"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(02000)", ,"2186"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(02300)", ,"22354"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(02400)", ,"16016"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(02600)", ,"12554"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(02700)", ,"20563"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03100)", ,"395002"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03200)", ,"395002"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03300)", ,"1294495"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03400)", ,"99758"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03500)", ,"25806"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(03600)", ,"10487"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(04000)", ,"475"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(04100)", ,"27346"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(04200)", ,"163872"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(05000)", ,"163872"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(05100)", ,"1130624"
"HOSPC","hospc_2013_DATA",33982,"G000000","Line(05800)", ,"1130624"
"Entity[33982] Report(G100000)", , , , ,"Entity[33982] Report(G100000[0000])","Entity[33982] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(00100)", ,"983843"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(00200)", ,"243339"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(00300)", ,"1227182"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(00500)","AUDIT ADJUSTMENTS","39442"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(01000)", ,"39442"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(01100)", ,"1266624"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(01300)","DISTRIBUTIONS","136000"
"HOSPC","hospc_2013_DATA",33982,"G100000","Line(01800)", ,"136000"
"Entity[33982] Report(G200001)", , , , , ,"Entity[33982] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33982,"G200001","Line(00200)", ,"807960"
"HOSPC","hospc_2013_DATA",33982,"G200001","Line(00300)", ,"1484757"
"Entity[33982] Report(G200002)", , , , ,"Entity[33982] Report(G200002[0000])", ,"Entity[33982] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33982,"G200002","Line(00100)", , ,"2049378"
"HOSPC","hospc_2013_DATA",33982,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",33982,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",33982,"G200002","Line(01500)", , ,"2049378"
