"Entity[33982] Report(B000000)", , , , ,"Entity[33982] Report(B000000[0000])","Entity[33982] Report(B000000[0100])","Entity[33982] Report(B000000[0200])","Entity[33982] Report(B000000[0300])","Entity[33982] Report(B000000[0400])","Entity[33982] Report(B000000[0500])","Entity[33982] Report(B000000[0600])","Entity[33982] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00100)","56816","56816"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00200)","16337", ,"16337"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00300)","2945", , ,"2945"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00400)","139634", , , ,"139634"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00500)", ,"5073","1459","263", ,"6795"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(00600)","626407","30437","8752","1578","34909","6795","708878"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(01600)","675061","20089","5776","1041","104725", ,"476406","1283098"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(01700)","488", , , , , ,"288","776"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(02100)","32280", , , , , ,"19064","51344"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(02200)","2400", , , , , ,"1417","3817"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(02300)","63131","1217","350","63", , ,"38246","103007"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(03000)","163734", , , , , ,"96696","260430"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(03100)","96359", , , , , ,"56906","153265"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(03200)","2969", , , , , ,"1753","4722"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(03400)","3584", , , , , ,"2117","5701"
"HOSPC","hospc_2013_DATA",33982,"B000000","Line(05000)","27067", , , , , ,"15985","43052"
"Entity[33982] Report(B10000*)", , , , , ,"Entity[33982] Report(B10000*[0100])","Entity[33982] Report(B10000*[0200])","Entity[33982] Report(B10000*[0300])","Entity[33982] Report(B10000*[0400])","Entity[33982] Report(B10000*[0500])","Entity[33982] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33982,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33982,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33982,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33982,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33982,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[33982] Report(B100000)", , , , , ,"Entity[33982] Report(B100000[0100])","Entity[33982] Report(B100000[0200])","Entity[33982] Report(B100000[0300])","Entity[33982] Report(B100000[0400])","Entity[33982] Report(B100000[0500])","Entity[33982] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00100)", ,"2240"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00200)", , ,"2240"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00300)", , , ,"2240"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00400)", , , , ,"139634"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00500)", ,"200","200","200", ,"6795"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(00600)", ,"1200","1200","1200","34909","6795","1200334"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(01600)", ,"792","792","792","104725", ,"806692"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(01700)", , , , , , ,"488"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(02100)", , , , , , ,"32280"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(02200)", , , , , , ,"2400"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(02300)", ,"48","48","48", , ,"64761"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(03000)", , , , , , ,"163734"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(03100)", , , , , , ,"96359"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(03200)", , , , , , ,"2969"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(03400)", , , , , , ,"3584"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(05000)", , , , , , ,"27067"
"HOSPC","hospc_2013_DATA",33982,"B100000","Line(10000)", ,"56816","16337","2945","139634","6795"
