"hospc_2013_DATA",33931,"A000000","Line(03300)","3300IMAGING SERVICES", , , , ,"43772","43772", ,"43772", ,"43772", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"26984","26984", ,"26984", ,"26984", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"504982","504982", ,"504982", ,"504982", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , ,"114461","114461", ,"114461", ,"114461", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03700)","3700RADIATION THERAPY", , , , ,"7396","7396", ,"7396", ,"7396", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33931,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","761396","215218","51972", ,"38823","1067409", ,"1067409","-3115","1064294", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , ,"30137", ,"16039","46176", ,"46176", ,"46176", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05200)","5200FUNDRAISING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","632220","126499", ,"4384", ,"763103", ,"763103","-1196654","-433551", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05304)","5304HOME HEALTH","2901316","656397","243757","1124311","327007","5252788","38150","5290938","-13515","5277423", , , , , 
"hospc_2013_DATA",33931,"A000000","Line(05305)","5305FOUNDATION", , ,"43193", ,"390358","433551", ,"433551","1039471","1473022", , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33931","A100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , ,"Entity[33931] Report(A100000[0300])","Entity[33931] Report(A100000[0400])","Entity[33931] Report(A100000[0500])", ,"Entity[33931] Report(A100000[0700])","Entity[33931] Report(A100000[0800])","Entity[33931] Report(A100000[0900])", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(00300)", , , , , , , , ,"192105","192105", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(00500)", , , , , , , , ,"254094","254094", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(00600)", , , , ,"3159718", , , ,"4773943","7933661", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(01000)", , , , , ,"2301915", , ,"141190","2443105", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(01600)", , , , , ,"5170857", , , ,"5170857", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(01620)", , , , , ,"390233", , , ,"390233", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(02000)", , , ,"1110358", , , , , ,"1110358", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(02100)", , , , , , , , ,"371731","371731", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(02400)", , , , , , , ,"1380453", ,"1380453", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(02420)", , , , , , , ,"862", ,"862", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(03000)", , , , , , , , ,"838430","838430", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(03100)", , , , , , , , ,"350311","350311", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(05000)", , , , , , , , ,"761396","761396", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(05300)", , , , , , , , ,"632220","632220", , , , , , 
"hospc_2013_DATA",33931,"A100000","Line(05304)", , , , , , , , ,"2901316","2901316", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33931","A200000 ","-------------","-------------","-----------","", , , , , , , , , 
