"Entity[33961] Report(G000000)", , , , , ,"Entity[33961] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00100)", ,"808727"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00200)", ,"7233907"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00400)", ,"982796"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00500)", ,"191987"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00600)", ,"51812"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00700)", ,"20914"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(00800)", ,"59077"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(01100)", ,"9245596"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(01200)", ,"399482"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(01500)", ,"5481885"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(01600)", ,"1140249"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(01900)", ,"373378"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(02700)", ,"5114496"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(03300)", ,"14360092"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(03400)", ,"523568"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(03500)", ,"403656"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(03700)", ,"124741"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(04200)", ,"1051965"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(05000)", ,"1051965"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(05100)", ,"13308127"
"HOSPC","hospc_2013_DATA",33961,"G000000","Line(05800)", ,"13308127"
"Entity[33961] Report(G100000)", , , , ,"Entity[33961] Report(G100000[0000])","Entity[33961] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(00100)", ,"12454078"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(00200)", ,"991574"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(00300)", ,"13445652"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(01100)", ,"13445652"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(01300)","PRIOR-YEAR-ADJUSTMENT","137525"
"HOSPC","hospc_2013_DATA",33961,"G100000","Line(01800)", ,"137525"
"Entity[33961] Report(G200001)", , , , , ,"Entity[33961] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33961,"G200001","Line(00100)", ,"647326"
"HOSPC","hospc_2013_DATA",33961,"G200001","Line(00200)", ,"15130"
"HOSPC","hospc_2013_DATA",33961,"G200001","Line(00300)", ,"5591094"
"HOSPC","hospc_2013_DATA",33961,"G200001","Line(00400)", ,"3043013"
"HOSPC","hospc_2013_DATA",33961,"G200001","Line(00500)", ,"358578"
"Entity[33961] Report(G200002)", , , , ,"Entity[33961] Report(G200002[0000])","Entity[33961] Report(G200002[0100])","Entity[33961] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(00100)", , ,"9673790"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","1"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(00300)","LOSS ON DISPOSAL OF ASSET/INVESTMENT","231511"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(00800)", , ,"231512"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(01000)","COMMUNITY SUPPORT","997318"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(01100)","INTEREST AND INVESTMENT INCOME","244417"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(01301)","MEDICAID ROOM & BOARD","358578"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(01400)", , ,"1600313"
"HOSPC","hospc_2013_DATA",33961,"G200002","Line(01500)", , ,"8304989"
