"Entity[33961] Report(D000000)", , , , , ,"Entity[33961] Report(D000000[0100])","Entity[33961] Report(D000000[0200])","Entity[33961] Report(D000000[0300])","Entity[33961] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00100)", , , , ,"8846252"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00200)", , , , ,"52019"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00300)", , , , ,"170"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00400)", ,"49651"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00500)", ,"8443649"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00600)", , ,"1026"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00700)", , ,"174482"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00800)", ,"4599"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(00900)", ,"782106"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(01000)", , ,"61"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(01100)", , ,"10374"
"HOSPC","hospc_2013_DATA",33961,"D000000","Line(01200)", , , ,"1342"
