"Entity[34064] Report(B000000)", , , , ,"Entity[34064] Report(B000000[0000])","Entity[34064] Report(B000000[0100])","Entity[34064] Report(B000000[0200])","Entity[34064] Report(B000000[0300])", , ,"Entity[34064] Report(B000000[0600])","Entity[34064] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34064,"B000000","Line(00100)","10800","10800"
"HOSPC","hospc_2013_DATA",34064,"B000000","Line(00200)","7582", ,"7582"
"HOSPC","hospc_2013_DATA",34064,"B000000","Line(00300)","2189", , ,"2189"
"HOSPC","hospc_2013_DATA",34064,"B000000","Line(00600)","504905","10800","7582","2189", , ,"525476"
"HOSPC","hospc_2013_DATA",34064,"B000000","Line(03100)","18655", , , , , ,"525476","544131"
"Entity[34064] Report(B10000*)", , , , , ,"Entity[34064] Report(B10000*[0100])","Entity[34064] Report(B10000*[0200])","Entity[34064] Report(B10000*[0300])","Entity[34064] Report(B10000*[0400])","Entity[34064] Report(B10000*[0500])","Entity[34064] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34064,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34064,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34064,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34064,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE","SQUARE","NO","ACCUM."
"HOSPC","hospc_2013_DATA",34064,"B10000*","Line(00500)", ,"FEET","FEET","FEET","FEET","STATISTICS","COSTS"
"Entity[34064] Report(B100000)", , , , , ,"Entity[34064] Report(B100000[0100])","Entity[34064] Report(B100000[0200])","Entity[34064] Report(B100000[0300])","Entity[34064] Report(B100000[0400])", ,"Entity[34064] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00100)", ,"1000"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00200)", , ,"1000"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00300)", , , ,"1000"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00400)", , , , ,"1000"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(00600)", ,"1000","1000","1000","1000", ,"18655"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(03100)", , , , , , ,"18655"
"HOSPC","hospc_2013_DATA",34064,"B100000","Line(10000)", ,"10800","7582","2189"
