"Entity[33837] Report(G000000)", , , , , ,"Entity[33837] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(00400)", ,"559289"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(00600)", ,"23998"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(01100)", ,"535291"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(01900)", ,"40804"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(02000)", ,"31579"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(02700)", ,"9225"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03100)", ,"7400"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03200)", ,"7400"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03300)", ,"551916"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03400)", ,"11814"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03500)", ,"164521"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(03600)", ,"2783"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(04000)", ,"84499"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(04100)", ,"1392"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(04200)", ,"265009"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(05000)", ,"265009"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(05100)", ,"286907"
"HOSPC","hospc_2013_DATA",33837,"G000000","Line(05800)", ,"286907"
"Entity[33837] Report(G100000)", , , , , ,"Entity[33837] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(00100)", ,"163951"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(00200)", ,"181850"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(00300)", ,"345801"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(01100)", ,"345801"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(01200)", ,"58894"
"HOSPC","hospc_2013_DATA",33837,"G100000","Line(01800)", ,"58894"
"Entity[33837] Report(G200001)", , , , , ,"Entity[33837] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33837,"G200001","Line(00100)", ,"3636878"
"Entity[33837] Report(G200002)", , , , , , ,"Entity[33837] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33837,"G200002","Line(00100)", , ,"3455028"
"HOSPC","hospc_2013_DATA",33837,"G200002","Line(01500)", , ,"3455028"
