"Entity[33965] Report(G000000)", , , , , ,"Entity[33965] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(00100)", ,"46462"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(00400)", ,"114811"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(00800)", ,"1096"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(00900)", ,"1025"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(01100)", ,"163394"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(02300)", ,"15103"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(02400)", ,"4405"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(02700)", ,"10698"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(03300)", ,"174092"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(03400)", ,"11912"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(03500)", ,"21780"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(03600)", ,"3766"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(04100)", ,"4558"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(04200)", ,"42016"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(04400)", ,"125000"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(04900)", ,"125000"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(05000)", ,"167016"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(05100)", ,"7076"
"HOSPC","hospc_2013_DATA",33965,"G000000","Line(05800)", ,"7076"
"Entity[33965] Report(G100000)", , , , , ,"Entity[33965] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(00100)", ,"90000"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(00200)", ,"-49263"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(00300)", ,"40737"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(00400)", ,"-33661"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(01000)", ,"-33661"
"HOSPC","hospc_2013_DATA",33965,"G100000","Line(01100)", ,"7076"
"Entity[33965] Report(G200001)", , , , , ,"Entity[33965] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33965,"G200001","Line(00300)", ,"759953"
"HOSPC","hospc_2013_DATA",33965,"G200001","Line(00400)", ,"157773"
"Entity[33965] Report(G200002)", , , , , , ,"Entity[33965] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33965,"G200002","Line(00100)", , ,"966989"
"HOSPC","hospc_2013_DATA",33965,"G200002","Line(01500)", , ,"966989"
