"Entity[34082] Report(S000000)", , , , , ,"Entity[34082] Report(S000000[0100])","Entity[34082] Report(S000000[0200])","Entity[34082] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",34082,"S000000","Line(00100)", ,"1","04/17/2014","N"
"Entity[34082] Report(S100000)", , , , , ,"Entity[34082] Report(S100000[0100])","Entity[34082] Report(S100000[0200])","Entity[34082] Report(S100000[0300])","Entity[34082] Report(S100000[0400])","Entity[34082] Report(S100000[0500])","Entity[34082] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00100)", ,"HOSPICE AUSTIN","4107 SPICEWOOD SPRINGS ROAD  SUITE 1","AUSTIN","TX","78759"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00200)", ,"TRAVIS COUNTY"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00300)", ,"08/07/1981"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00400)", ,"12/05/1986","05/01/1988"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00500)", ,"01/01/2013","12/31/2013"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00600)", ,"451515"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00700)", ,"2"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00800)", ,"15","3","5", , ,"18"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(00900)", ,"82193","9686","23153","926","18637","110516"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01000)", ,"201", ,"201", ,"14","215"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01100)", ,"2770","603", , ,"1582","4955"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01200)", ,"85179","10292","23359","926","20233","115704"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01300)", ,"1468","164","269","18","548","2180"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01400)", ,"149", ,"52"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01500)", ,"58","63","87","51","37","53"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01600)", ,"1234","135","206","17","381","1750"
"HOSPC","hospc_2013_DATA",34082,"S100000","Line(01800)", ,"Y"
