"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35246","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35246] Report(S000000[0100])","Entity[35246] Report(S000000[0200])","Entity[35246] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S000000","Line(00100)", ,"1","05/29/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35246","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35246] Report(S100000[0100])","Entity[35246] Report(S100000[0200])","Entity[35246] Report(S100000[0300])","Entity[35246] Report(S100000[0400])","Entity[35246] Report(S100000[0500])","Entity[35246] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00100)", ,"CROWN HOSPICE  LLC","1101 SALEM ROAD  SUITE A-D","VICTORIA","TX","77904", , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00200)", ,"VICTORIA", , , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00300)", ,"01/01/2007", , , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00400)", ,"09/17/2007","04/01/2008", , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00600)", ,"671581", , , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00700)", ,"6", , , , , , , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(00900)", ,"7281", ,"2956", ,"127","7408", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(01000)", ,"5", , , , ,"5", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(01200)", ,"7286", ,"2956", ,"127","7413", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(01300)", ,"101", ,"36", ,"7","108", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(01500)", ,"72", ,"82", ,"18","69", , , , , , , , , 
"hospc_2013_DATA",35246,"S100000","Line(01600)", ,"77", ,"26", ,"6","83", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
