"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35013","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35013] Report(D000000[0100])","Entity[35013] Report(D000000[0200])","Entity[35013] Report(D000000[0300])","Entity[35013] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00100)", , , , ,"1622902", , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00200)", , , , ,"18270", , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00300)", , , , ,"89", , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00400)", ,"17413", , , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00500)", ,"1546797", , , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00600)", , ,"277", , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00700)", , ,"24606", , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00800)", ,"5061", , , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(00900)", ,"449569", , , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(01000)", , ,"81", , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(01100)", , ,"7195", , , , , , , , , , , , , 
"hospc_2013_DATA",35013,"D000000","Line(01200)", , , ,"580", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
