"Entity[33881] Report(B000000)", , , , ,"Entity[33881] Report(B000000[0000])","Entity[33881] Report(B000000[0100])", ,"Entity[33881] Report(B000000[0300])", ,"Entity[33881] Report(B000000[0500])","Entity[33881] Report(B000000[0600])","Entity[33881] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(00100)","518662","518662"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(00300)", ,"8349", ,"8349"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(00500)", ,"2556", ,"42", ,"2598"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(00600)","6833136","188887", ,"3089", ,"415","7025527"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(01000)","2186277","150583", ,"2464", ,"236","2018728","4358288"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(01100)","243821", , , , , ,"210385","454206"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(01500)","488973","2965", ,"49", , ,"424519","916506"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(01600)","1609882","34232", ,"560", ,"197","1419305","3064176"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(01620)", , , , , ,"23","20","43"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(02000)","522294", , , , , ,"450670","972964"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(02100)","155939","2743", ,"45", ,"8","136967","295702"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(02400)","717687", , , , , ,"619268","1336955"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03000)","552814", , , , , ,"477005","1029819"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03100)","595435", , , , , ,"513781","1109216"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03200)","83858", , , , , ,"72358","156216"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03400)","21877", , , , , ,"18877","40754"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03500)", ,"5410", ,"89", , ,"4745","10244"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03600)","57201", , , , , ,"49357","106558"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(03700)","2002", , , , , ,"1727","3729"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(05000)", ,"13929", ,"228", ,"45","12254","26456"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(05100)", ,"2837", ,"46", ,"74","2551","5508"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(05200)","555277","4260", ,"70", ,"1600","484247","1045454"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(05300)", ,"101911", ,"1667", , ,"89374","192952"
"HOSPC","hospc_2013_DATA",33881,"B000000","Line(05303)","22470", , , , , ,"19389","41859"
"Entity[33881] Report(B10000*)", , , , , ,"Entity[33881] Report(B10000*[0100])","Entity[33881] Report(B10000*[0200])","Entity[33881] Report(B10000*[0300])","Entity[33881] Report(B10000*[0400])","Entity[33881] Report(B10000*[0500])","Entity[33881] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33881,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33881,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33881,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33881,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33881,"B10000*","Line(00500)", ,"FOOTAGE","FOOTAGE","FOOTAGE","STATISTICS","STATISTICS","COSTS"
"Entity[33881] Report(B100000)", , , , , ,"Entity[33881] Report(B100000[0100])","Entity[33881] Report(B100000[0200])","Entity[33881] Report(B100000[0300])","Entity[33881] Report(B100000[0400])","Entity[33881] Report(B100000[0500])","Entity[33881] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00100)", ,"60879"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00200)", , ,"60879"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00300)", ,"980","980","59899"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00400)", , , , ,"30000"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00500)", ,"300","300","300", ,"27600"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(00600)", ,"22171","22171","22171","20000","4406","8142078"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(01000)", ,"17675","17675","17675", ,"2503","2339560"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(01100)", , , , , , ,"243821"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(01500)", ,"348","348","348", , ,"491987"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(01600)", ,"4018","4018","4018", ,"2095","1644871"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(01620)", , , , , ,"247","23"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(02000)", , , , , , ,"522294"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(02100)", ,"322","322","322", ,"90","158735"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(02400)", , , , , , ,"717687"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03000)", , , , , , ,"552814"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03100)", , , , , , ,"595435"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03200)", , , , , , ,"83858"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03400)", , , , , , ,"21877"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03500)", ,"635","635","635", , ,"5499"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03600)", , , , , , ,"57201"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(03700)", , , , , , ,"2002"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(05000)", ,"1635","1635","1635", ,"479","14202"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(05100)", ,"333","333","333", ,"787","2957"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(05200)", ,"500","500","500","10000","16993","561207"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(05300)", ,"11962","11962","11962", , ,"103578"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(05303)", , , , , , ,"22470"
"HOSPC","hospc_2013_DATA",33881,"B100000","Line(10000)", ,"518662", ,"8349", ,"2598"
