"Entity[33971] Report(B000000)", , , , ,"Entity[33971] Report(B000000[0000])","Entity[33971] Report(B000000[0100])", , , , ,"Entity[33971] Report(B000000[0600])","Entity[33971] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(00100)","53553","53553"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(00600)","960105","41935", , , , ,"1002040"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(01500)","27609", , , , , ,"40684","68293"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(01600)","369230","3550", , , , ,"549316","922096"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(02000)","48857","1936", , , , ,"74847","125640"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(02100)","31337", , , , , ,"46177","77514"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(02400)","50877","1614", , , , ,"77349","129840"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(03000)","55503", , , , , ,"81788","137291"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(03032)", ,"4518", , , , ,"6658","11176"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(03100)","36233", , , , , ,"53392","89625"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(03300)","385", , , , , ,"567","952"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(03400)","225", , , , , ,"332","557"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(05000)","27244", , , , , ,"40146","67390"
"HOSPC","hospc_2013_DATA",33971,"B000000","Line(05100)","20891", , , , , ,"30784","51675"
"Entity[33971] Report(B10000*)", , , , , ,"Entity[33971] Report(B10000*[0100])", , , ,"Entity[33971] Report(B10000*[0500])","Entity[33971] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33971,"B10000*","Line(00100)", ,"CAPITAL", , , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33971,"B10000*","Line(00200)", ,"BLDGS &", , , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33971,"B10000*","Line(00300)", ,"FIXTURES", , , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33971,"B10000*","Line(00400)", ,"SQUARE", , , ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33971,"B10000*","Line(00500)", ,"FEET", , , ,"SERVICE","COSTS"
"Entity[33971] Report(B100000)", , , , , ,"Entity[33971] Report(B100000[0100])", , , ,"Entity[33971] Report(B100000[0500])","Entity[33971] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(00100)", ,"2655"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(00500)", , , , , ,"1926"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(00600)", ,"2079", , , , ,"680009"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(01500)", , , , , , ,"27609"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(01600)", ,"176", , , , ,"372780"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(02000)", ,"96", , , , ,"50793"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(02100)", , , , , , ,"31337"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(02400)", ,"80", , , , ,"52491"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(03000)", , , , , , ,"55503"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(03032)", ,"224", , , , ,"4518"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(03100)", , , , , , ,"36233"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(03300)", , , , , , ,"385"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(03400)", , , , , , ,"225"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(05000)", , , , , ,"1156","27244"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(05100)", , , , , ,"770","20891"
"HOSPC","hospc_2013_DATA",33971,"B100000","Line(10000)", ,"53553", , , , ,"1002040"
