"Entity[33819] Report(G000000)", , , , , ,"Entity[33819] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(00400)", ,"42874"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(00600)", ,"736"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(00800)", ,"6671"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(00900)", ,"407432"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(01100)", ,"456241"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(01900)", ,"3101"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(02300)", ,"6309"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(02400)", ,"167"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(02700)", ,"9243"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(03100)", ,"302427"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(03200)", ,"302427"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(03300)", ,"767911"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(03500)", ,"8497"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(03600)", ,"1479"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(04200)", ,"9976"
"HOSPC","hospc_2013_DATA",33819,"G000000","Line(05100)", ,"757935"
"Entity[33819] Report(G100000)", , , , ,"Entity[33819] Report(G100000[0000])","Entity[33819] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(00100)", ,"787836"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(00200)", ,"-29901"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(00300)", ,"757935"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SP"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(01100)", ,"757935"
"HOSPC","hospc_2013_DATA",33819,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SP"
"Entity[33819] Report(G200001)", , , , , ,"Entity[33819] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33819,"G200001","Line(00400)", ,"54258"
"Entity[33819] Report(G200002)", , , , , , ,"Entity[33819] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33819,"G200002","Line(00100)", , ,"84159"
"HOSPC","hospc_2013_DATA",33819,"G200002","Line(01500)", , ,"84159"
