"Entity[34049] Report(G000000)", , , , , ,"Entity[34049] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00100)", ,"907043"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00200)", ,"1029350"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00400)", ,"871985"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00500)", ,"2900"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00600)", ,"42181"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00700)", ,"11856"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(00800)", ,"31691"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01100)", ,"2812644"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01200)", ,"71581"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01500)", ,"607817"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01600)", ,"532658"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01700)", ,"467963"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(01800)", ,"72813"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(02300)", ,"579275"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(02400)", ,"132270"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(02700)", ,"988895"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(02800)", ,"1105127"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(03200)", ,"1105127"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(03300)", ,"4906666"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(03400)", ,"356065"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(03500)", ,"173900"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(03600)", ,"7907"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(04200)", ,"537872"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(04500)", ,"294"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(04900)", ,"294"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(05000)", ,"538166"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(05100)", ,"4368500"
"HOSPC","hospc_2013_DATA",34049,"G000000","Line(05800)", ,"4368500"
"Entity[34049] Report(G100000)", , , , ,"Entity[34049] Report(G100000[0000])","Entity[34049] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(00100)", ,"3376051"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(00200)", ,"1009859"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(00300)", ,"4385910"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(01100)", ,"4385910"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(01300)","PRIOR YEAR ADJUSTMENT","17410"
"HOSPC","hospc_2013_DATA",34049,"G100000","Line(01800)", ,"17410"
"Entity[34049] Report(G200001)", , , , , ,"Entity[34049] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34049,"G200001","Line(00100)", ,"1381214"
"HOSPC","hospc_2013_DATA",34049,"G200001","Line(00200)", ,"61557"
"HOSPC","hospc_2013_DATA",34049,"G200001","Line(00300)", ,"2517875"
"HOSPC","hospc_2013_DATA",34049,"G200001","Line(00400)", ,"1121615"
"HOSPC","hospc_2013_DATA",34049,"G200001","Line(00500)", ,"1772877"
"Entity[34049] Report(G200002)", , , , ,"Entity[34049] Report(G200002[0000])","Entity[34049] Report(G200002[0100])","Entity[34049] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(00100)", , ,"6242583"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(00200)","ADD (SPECIFY) ROUNDING","3"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(00800)", , ,"3"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(01000)","COMMUNITY SUPPORT","279171"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(01100)","INTEREST AND INVESTMENT INCOME","118136"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(01301)","STATE MEDICAID ROOM & BOARD","1772877"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(01400)", , ,"2170184"
"HOSPC","hospc_2013_DATA",34049,"G200002","Line(01500)", , ,"4072402"
