"Entity[34008] Report(B000000)", , , , ,"Entity[34008] Report(B000000[0000])", , , , ,"Entity[34008] Report(B000000[0500])","Entity[34008] Report(B000000[0600])","Entity[34008] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(00500)","56883", , , , ,"56883"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(00600)","564696", , , , ,"34537","599233"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(01600)","168564", , , , ,"10310","276484","455358"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(02000)","557", , , , ,"34","914","1505"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(02100)","15578", , , , ,"953","25552","42083"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(02400)","42132", , , , ,"2577","69106","113815"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(02500)","12081", , , , ,"739","19816","32636"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(03000)","65004", , , , ,"3976","106622","175602"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(03100)","48033", , , , ,"2938","78786","129757"
"HOSPC","hospc_2013_DATA",34008,"B000000","Line(03500)","13384", , , , ,"819","21953","36156"
"Entity[34008] Report(B10000*)", , , , , , ,"Entity[34008] Report(B10000*[0200])", , ,"Entity[34008] Report(B10000*[0500])","Entity[34008] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34008,"B10000*","Line(00100)", , ,"CAPITAL", , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34008,"B10000*","Line(00200)", , ,"MOVABLE", , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34008,"B10000*","Line(00300)", , ,"EQUIPMENT", , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34008,"B10000*","Line(00400)", , ,"SQUARE", , ,"ACCUM.","ACCUM."
"HOSPC","hospc_2013_DATA",34008,"B10000*","Line(00500)", , ,"FEET", , ,"COSTS","COSTS"
"Entity[34008] Report(B100000)", , , , , , ,"Entity[34008] Report(B100000[0200])", , ,"Entity[34008] Report(B100000[0500])","Entity[34008] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(00000)", , , , , ,"X","X"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(00200)", , ,"2057"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(00500)", , , , , ,"930029"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(00600)", , ,"2057", , ,"564696","387679"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(01600)", , , , , ,"168564","178874"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(02000)", , , , , ,"557","591"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(02100)", , , , , ,"15578","16531"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(02400)", , , , , ,"42132","44709"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(02500)", , , , , ,"12081","12820"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(03000)", , , , , ,"65004","68980"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(03100)", , , , , ,"48033","50971"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(03500)", , , , , ,"13384","14203"
"HOSPC","hospc_2013_DATA",34008,"B100000","Line(10000)", , , , , ,"56883","599233"
