"Entity[33977] Report(D000000)", , , , , ,"Entity[33977] Report(D000000[0100])","Entity[33977] Report(D000000[0200])", ,"Entity[33977] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00100)", , , , ,"1805931"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00200)", , , , ,"12820"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00300)", , , , ,"141"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00400)", ,"12720"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00500)", ,"1791866"
"HOSPC","hospc_2013_DATA",33977,"D000000","Line(00600)", , ,"100"
