"Entity[33535] Report(D000000)", , , , , ,"Entity[33535] Report(D000000[0100])", , ,"Entity[33535] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00100)", , , , ,"513282"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00200)", , , , ,"3265"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00300)", , , , ,"157"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00400)", ,"3265"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00500)", ,"513291"
"HOSPC","hospc_2013_DATA",33535,"D000000","Line(00800)", ,"876"
