"Entity[33535] Report(B000000)", , , , ,"Entity[33535] Report(B000000[0000])", ,"Entity[33535] Report(B000000[0200])","Entity[33535] Report(B000000[0300])", ,"Entity[33535] Report(B000000[0500])","Entity[33535] Report(B000000[0600])","Entity[33535] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(00200)","410", ,"410"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(00300)","2371", , ,"2371"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(00500)","8865", , , , ,"8865"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(00600)","261939", ,"410","2371", , ,"264720"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(01000)","20093", , , , , ,"21399","41492"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(01100)","6447", , , , , ,"6866","13313"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(01500)","5435", , , , , ,"5788","11223"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(01600)","103582", , , , , ,"110316","213898"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(02000)","32220", , , , , ,"34314","66534"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(02400)","21305", , , , , ,"22690","43995"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(03000)","31933", , , , , ,"34009","65942"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(03200)","4901", , , , , ,"5220","10121"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(03300)","106", , , , , ,"113","219"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(03400)","2371", , , , , ,"2525","4896"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(03500)","11304", , , , , ,"12039","23343"
"HOSPC","hospc_2013_DATA",33535,"B000000","Line(05100)", , , , , ,"8865","9441","18306"
"Entity[33535] Report(B10000*)", , , , , ,"Entity[33535] Report(B10000*[0100])","Entity[33535] Report(B10000*[0200])","Entity[33535] Report(B10000*[0300])","Entity[33535] Report(B10000*[0400])","Entity[33535] Report(B10000*[0500])","Entity[33535] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33535,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33535,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33535,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33535,"B10000*","Line(00400)", ,"NO","NO","NO","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33535,"B10000*","Line(00500)", ,"STATISTICS","STATISTICS","STATISTICS","STATISTICS","STATISTICS","COSTS"
"Entity[33535] Report(B100000)", , , , , ,"Entity[33535] Report(B100000[0100])","Entity[33535] Report(B100000[0200])","Entity[33535] Report(B100000[0300])", ,"Entity[33535] Report(B100000[0500])","Entity[33535] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00100)", ,"100"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00200)", , ,"100"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00300)", , , ,"100"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00500)", , , , , ,"100"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(00600)", ,"100","100","100", , ,"248562"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(01000)", , , , , , ,"20093"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(01100)", , , , , , ,"6447"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(01500)", , , , , , ,"5435"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(01600)", , , , , , ,"103582"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(02000)", , , , , , ,"32220"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(02400)", , , , , , ,"21305"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(03000)", , , , , , ,"31933"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(03200)", , , , , , ,"4901"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(03300)", , , , , , ,"106"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(03400)", , , , , , ,"2371"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(03500)", , , , , , ,"11304"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(05100)", , , , , ,"100","8865"
"HOSPC","hospc_2013_DATA",33535,"B100000","Line(10000)", , ,"410","2371", ,"8865","264720"
