"Entity[33938] Report(D000000)", , , , , ,"Entity[33938] Report(D000000[0100])", , ,"Entity[33938] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33938,"D000000","Line(00100)", , , , ,"216999"
"HOSPC","hospc_2013_DATA",33938,"D000000","Line(00200)", , , , ,"313"
"HOSPC","hospc_2013_DATA",33938,"D000000","Line(00300)", , , , ,"693"
"HOSPC","hospc_2013_DATA",33938,"D000000","Line(00400)", ,"313"
