"Entity[33932] Report(B000000)", , , , ,"Entity[33932] Report(B000000[0000])","Entity[33932] Report(B000000[0100])","Entity[33932] Report(B000000[0200])","Entity[33932] Report(B000000[0300])","Entity[33932] Report(B000000[0400])","Entity[33932] Report(B000000[0500])","Entity[33932] Report(B000000[0600])","Entity[33932] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00100)","2625317","2625317"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00200)","161971", ,"161971"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00300)","2671155", , ,"2671155"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00400)","1359605", , , ,"1359605"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00500)","631097","15640","965","15913","5430","669045"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(00600)","13218652","684999","42262","696959","90762","332675","15066309"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01000)","21618492","762269","47029","775579","14858", ,"4494643","27712870"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01100)","2464", , , , , ,"477","2941"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01500)","3007194","6066","374","6172","17632", ,"587996","3625434"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01600)","12222009","148802","9180","151400","454268", ,"2513803","15499462"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01620)","735106", , , ,"34512", ,"148985","918603"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(01700)","93813", , , , , ,"18161","111974"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(02000)","3140970", , , ,"122220", ,"631698","3894888"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(02100)","1195491", , , ,"60036", ,"243049","1498576"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(02200)","73", , , , , ,"14","87"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(02300)","978177", , , ,"60706", ,"201110","1239993"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(02400)","3573385", , , ,"311890", ,"752123","4637398"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03000)","2524777","13647","842","13886","2886", ,"494806","3050844"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03030)","859746", , , , , ,"166432","1026178"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03031)","561133", , , , , ,"108626","669759"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03100)","2935484", , , , , ,"568260","3503744"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03200)","16814", , , , , ,"3255","20069"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03400)","424312", , , , , ,"82140","506452"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03500)","764785","22247","1373","22635", , ,"157004","968044"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03700)","261404", , , , , ,"50603","312007"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03800)","333505", , , , , ,"64561","398066"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(03900)","6271", , , , ,"114028","23288","143587"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(05000)","727668","13417","828","13651","14325","6112","150221","926222"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(05100)","122569", , , , , ,"23727","146296"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(05200)","831163","309134","19072","314531","747","210233","326164","2011044"
"HOSPC","hospc_2013_DATA",33932,"B000000","Line(05300)","15290436","649096","40046","660429","169333","5997","3255163","20070500"
"Entity[33932] Report(B10000*)", , , , , ,"Entity[33932] Report(B10000*[0100])","Entity[33932] Report(B10000*[0200])","Entity[33932] Report(B10000*[0300])","Entity[33932] Report(B10000*[0400])","Entity[33932] Report(B10000*[0500])","Entity[33932] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33932,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33932,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33932,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33932,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33932,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[33932] Report(B100000)", , , , , ,"Entity[33932] Report(B100000[0100])","Entity[33932] Report(B100000[0200])","Entity[33932] Report(B100000[0300])","Entity[33932] Report(B100000[0400])","Entity[33932] Report(B100000[0500])","Entity[33932] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33932,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33932,"B100000","Line(00100)", ,"296439"
"HOSPC","hospc_2013_DATA",33932,"B100000","Line(00200)", , ,"296439"
"HOSPC","hospc_2013_DATA",33932,"B100000","Line(00300)", , , ,"296439"
"HOSPC","hospc_2013_DATA",33932,"B100000","Line(00400)", , , , ,"1359605"
