"Entity[33861] Report(B000000)", , , , ,"Entity[33861] Report(B000000[0000])","Entity[33861] Report(B000000[0100])","Entity[33861] Report(B000000[0200])","Entity[33861] Report(B000000[0300])","Entity[33861] Report(B000000[0400])","Entity[33861] Report(B000000[0500])","Entity[33861] Report(B000000[0600])","Entity[33861] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00100)","10740","10740"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00200)","1098","10740","11838"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00300)","11369", ,"11838","23207"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00400)", , , ,"23207","23207"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00500)", , , , ,"23207","23207"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(00600)","222768", , , , ,"23207","245975"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(01100)","1566", , , , , ,"567","2133"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(01600)","299538", , , , , ,"108439","407977"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(01700)","507", , , , , ,"184","691"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(02000)","52065", , , , , ,"18849","70914"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(02100)","19226", , , , , ,"6960","26186"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(02400)","73", , , , , ,"26","99"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(03000)","35477", , , , , ,"12843","48320"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(03100)","20261", , , , , ,"7335","27596"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(03400)","3926", , , , , ,"1421","5347"
"HOSPC","hospc_2013_DATA",33861,"B000000","Line(05300)","246811", , , , , ,"89351","336162"
"Entity[33861] Report(B10000*)", , , , , ,"Entity[33861] Report(B10000*[0100])","Entity[33861] Report(B10000*[0200])","Entity[33861] Report(B10000*[0300])","Entity[33861] Report(B10000*[0400])","Entity[33861] Report(B10000*[0500])","Entity[33861] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33861,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33861,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33861,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33861,"B10000*","Line(00400)", ,"NO","NO","NO","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33861,"B10000*","Line(00500)", ,"STATISTICS","STATISTICS","STATISTICS","STATISTICS","STATISTICS","COSTS"
"Entity[33861] Report(B100000)", , , , , ,"Entity[33861] Report(B100000[0100])","Entity[33861] Report(B100000[0200])","Entity[33861] Report(B100000[0300])","Entity[33861] Report(B100000[0400])","Entity[33861] Report(B100000[0500])","Entity[33861] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00100)", ,"1200"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00200)", ,"1200","1200"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00300)", , ,"1200","1200"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00400)", , , ,"1200","1200"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00500)", , , , ,"1200","1200"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(00600)", , , , , ,"1200","679450"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(01100)", , , , , , ,"1566"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(01600)", , , , , , ,"299538"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(01700)", , , , , , ,"507"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(02000)", , , , , , ,"52065"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(02100)", , , , , , ,"19226"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(02400)", , , , , , ,"73"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(03000)", , , , , , ,"35477"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(03100)", , , , , , ,"20261"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(03400)", , , , , , ,"3926"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(05300)", , , , , , ,"246811"
"HOSPC","hospc_2013_DATA",33861,"B100000","Line(10000)", ,"10740","11838","23207","23207","23207"
