"Entity[34024] Report(B000000)", , , , ,"Entity[34024] Report(B000000[0000])","Entity[34024] Report(B000000[0100])","Entity[34024] Report(B000000[0200])", , , ,"Entity[34024] Report(B000000[0600])","Entity[34024] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(00100)","25871","25871"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(00200)","583", ,"583"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(00600)","1462104","25871","583", , , ,"1488558"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(01500)","13690", , , , , ,"14817","28507"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(01600)","362448", , , , , ,"392281","754729"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(01700)","4545", , , , , ,"4919","9464"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(01800)","275", , , , , ,"298","573"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(01900)","395", , , , , ,"428","823"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(02000)","24197", , , , , ,"26189","50386"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(02100)","18009", , , , , ,"19491","37500"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(02400)","122394", , , , , ,"132468","254862"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(03000)","117660", , , , , ,"127345","245005"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(03100)","8367", , , , , ,"9056","17423"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(03500)","175393", , , , , ,"189830","365223"
"HOSPC","hospc_2013_DATA",34024,"B000000","Line(05300)","527979", , , , , ,"571436","1099415"
"Entity[34024] Report(B10000*)", , , , , ,"Entity[34024] Report(B10000*[0100])","Entity[34024] Report(B10000*[0200])", , , ,"Entity[34024] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34024,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL", , , ,"ADMINIS-"
"HOSPC","hospc_2013_DATA",34024,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE", , , ,"TRATIVE &"
"HOSPC","hospc_2013_DATA",34024,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT", , , ,"GENERAL"
"HOSPC","hospc_2013_DATA",34024,"B10000*","Line(00400)", ,"SQUARE","DOLLAR", , , ,"ACCUM."
"HOSPC","hospc_2013_DATA",34024,"B10000*","Line(00500)", ,"FEET","VALUE", , , ,"COSTS"
"Entity[34024] Report(B100000)", , , , , ,"Entity[34024] Report(B100000[0100])","Entity[34024] Report(B100000[0200])", , , ,"Entity[34024] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(00100)", ,"100"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(00200)", , ,"100"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(00600)", ,"100","100", , , ,"1375352"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(01500)", , , , , , ,"13690"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(01600)", , , , , , ,"362448"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(01700)", , , , , , ,"4545"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(01800)", , , , , , ,"275"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(01900)", , , , , , ,"395"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(02000)", , , , , , ,"24197"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(02100)", , , , , , ,"18009"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(02400)", , , , , , ,"122394"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(03000)", , , , , , ,"117660"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(03100)", , , , , , ,"8367"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(03500)", , , , , , ,"175393"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(05300)", , , , , , ,"527979"
"HOSPC","hospc_2013_DATA",34024,"B100000","Line(10000)", ,"25871","583", , , ,"1488558"
