"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34994","B000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34994] Report(B000000[0000])","Entity[34994] Report(B000000[0100])","Entity[34994] Report(B000000[0200])","Entity[34994] Report(B000000[0300])","Entity[34994] Report(B000000[0400])","Entity[34994] Report(B000000[0500])","Entity[34994] Report(B000000[0600])","Entity[34994] Report(B000000[0700])", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00100)","20852","20852", , , , , , , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00200)","21054", ,"21054", , , , , , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00300)","41992", , ,"41992", , , , , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00400)","53639", , , ,"53639", , , , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00500)","11533","1119","1129","2253","211","16245", , , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(00600)","770080","4075","4115","8207","1641","9975","798093", , , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01000)","321281", , , , , ,"112564","433845", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01100)","8310", , , , , ,"2911","11221", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01500)","127537", , , , , ,"44684","172221", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01600)","777496","9321","9410","18768","24035", ,"293962","1132992", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01620)","110435", , , ,"1730", ,"39298","151463", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01800)","728", , , , , ,"255","983", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(01900)","88", , , , , ,"31","119", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(02000)","129369","1084","1094","2183","3432","4900","49773","191835", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(02100)","43454","1039","1050","2093","3272", ,"17836","68744", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(02300)", ,"1039","1050","2093", , ,"1465","5647", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(02400)","243991","1692","1709","3408","18499", ,"94352","363651", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03000)","109232", , , , , ,"38271","147503", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03030)","45207", , , , , ,"15839","61046", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03031)","2215", , , , , ,"776","2991", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03100)","97105", , , , , ,"34022","131127", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03200)","20966", , , , , ,"7346","28312", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03400)","14059", , , , , ,"4926","18985", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03600)","5197", , , , , ,"1821","7018", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(03900)","50037", , , , , ,"17531","67568", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(05000)","27884","1119","1129","2253","339","827","11755","45306", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(05100)","6424", , , , , ,"2251","8675", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(05200)","1678", , , , , ,"588","2266", , , , , , , , 
"hospc_2013_DATA",34994,"B000000","Line(05300)","14169","364","368","734","480","543","5836","22494", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34994","B10000* ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34994] Report(B10000*[0100])","Entity[34994] Report(B10000*[0200])","Entity[34994] Report(B10000*[0300])","Entity[34994] Report(B10000*[0400])","Entity[34994] Report(B10000*[0500])","Entity[34994] Report(B10000*[0600])", , , , , , , , , 
"hospc_2013_DATA",34994,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , 
"hospc_2013_DATA",34994,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , 
"hospc_2013_DATA",34994,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , 
"hospc_2013_DATA",34994,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , 
"hospc_2013_DATA",34994,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
