"Entity[34070] Report(D000000)", , , , , ,"Entity[34070] Report(D000000[0100])", , ,"Entity[34070] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34070,"D000000","Line(00100)", , , , ,"1769521"
"HOSPC","hospc_2013_DATA",34070,"D000000","Line(00200)", , , , ,"20154"
"HOSPC","hospc_2013_DATA",34070,"D000000","Line(00300)", , , , ,"88"
"HOSPC","hospc_2013_DATA",34070,"D000000","Line(00400)", ,"20154"
