"Entity[34056] Report(B000000)", , , , ,"Entity[34056] Report(B000000[0000])", , , , ,"Entity[34056] Report(B000000[0500])","Entity[34056] Report(B000000[0600])","Entity[34056] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(00500)","38336", , , , ,"38336"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(00600)","994709", , , , ,"38336","1033045"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(01000)","113867", , , , , ,"85569","199436"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(01100)","3761", , , , , ,"2826","6587"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(01600)","618911", , , , , ,"465098","1084009"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(01620)","1777", , , , , ,"1335","3112"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(02000)","88159", , , , , ,"66250","154409"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(02100)","71331", , , , , ,"53604","124935"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(02400)","64772", , , , , ,"48675","113447"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(02420)","128627", , , , , ,"96661","225288"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(02500)","5767", , , , , ,"4334","10101"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(03000)","121453", , , , , ,"91270","212723"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(03100)","104723", , , , , ,"78697","183420"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(03200)","3237", , , , , ,"2433","5670"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(03500)","29891", , , , , ,"22463","52354"
"HOSPC","hospc_2013_DATA",34056,"B000000","Line(05000)","18403", , , , , ,"13830","32233"
"Entity[34056] Report(B10000*)", , , , , , , , , ,"Entity[34056] Report(B10000*[0500])","Entity[34056] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34056,"B10000*","Line(00100)", , , , , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34056,"B10000*","Line(00200)", , , , , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34056,"B10000*","Line(00300)", , , , , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34056,"B10000*","Line(00400)", , , , , ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",34056,"B10000*","Line(00500)", , , , , ,"SERVICE","COSTS"
"Entity[34056] Report(B100000)", , , , , , , , , ,"Entity[34056] Report(B100000[0500])","Entity[34056] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(00500)", , , , , ,"100"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(00600)", , , , , ,"100","1374679"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(01000)", , , , , , ,"113867"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(01100)", , , , , , ,"3761"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(01600)", , , , , , ,"618911"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(01620)", , , , , , ,"1777"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(02000)", , , , , , ,"88159"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(02100)", , , , , , ,"71331"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(02400)", , , , , , ,"64772"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(02420)", , , , , , ,"128627"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(02500)", , , , , , ,"5767"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(03000)", , , , , , ,"121453"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(03100)", , , , , , ,"104723"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(03200)", , , , , , ,"3237"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(03500)", , , , , , ,"29891"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(05000)", , , , , , ,"18403"
"HOSPC","hospc_2013_DATA",34056,"B100000","Line(10000)", , , , , ,"38336","1033045"
