"Entity[33695] Report(B000000)", , , , ,"Entity[33695] Report(B000000[0000])", , , , , ,"Entity[33695] Report(B000000[0600])","Entity[33695] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(00600)","72844", , , , , ,"72844"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(01600)","40016", , , , , ,"55592","95608"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(01800)","323", , , , , ,"449","772"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(02000)","7871", , , , , ,"10935","18806"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(02400)","3482", , , , , ,"4837","8319"
"HOSPC","hospc_2013_DATA",33695,"B000000","Line(03100)","742", , , , , ,"1031","1773"
"Entity[33695] Report(B10000*)", , , , , ,"Entity[33695] Report(B10000*[0100])","Entity[33695] Report(B10000*[0200])","Entity[33695] Report(B10000*[0300])","Entity[33695] Report(B10000*[0400])","Entity[33695] Report(B10000*[0500])","Entity[33695] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33695,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33695,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33695,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33695,"B10000*","Line(00400)", ,"NO","NO","NO","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33695,"B10000*","Line(00500)", ,"STATISTICS","STATISTICS","STATISTICS","STATISTICS","STATISTICS","COSTS"
"Entity[33695] Report(B100000)", , , , , , , , , , ,"Entity[33695] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(00600)", , , , , , ,"52434"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(01600)", , , , , , ,"40016"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(01800)", , , , , , ,"323"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(02000)", , , , , , ,"7871"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(02400)", , , , , , ,"3482"
"HOSPC","hospc_2013_DATA",33695,"B100000","Line(03100)", , , , , , ,"742"
