"Entity[33478] Report(B000000)", , , , ,"Entity[33478] Report(B000000[0000])", ,"Entity[33478] Report(B000000[0200])", ,"Entity[33478] Report(B000000[0400])","Entity[33478] Report(B000000[0500])","Entity[33478] Report(B000000[0600])","Entity[33478] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(00200)","282", ,"282"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(00400)","19896", , , ,"19896"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(00500)", , ,"31", ,"2211","2242"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(00600)","273417", ,"43", ,"3040","2242","278742"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(01500)","21476", , , , , ,"25725","47201"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(01600)","115949", ,"39", ,"2763", ,"142249","261000"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(02000)","7872", ,"31", ,"2211", ,"12115","22229"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(02100)","6125", ,"31", ,"2211", ,"10023","18390"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(02400)","35863", ,"60", ,"4144", ,"47995","88062"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(03000)","7137", , , , , ,"8549","15686"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(03100)","16528", , , , , ,"19798","36326"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(03500)","6895", , , , , ,"8259","15154"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(05000)", , ,"16", ,"1105", ,"1343","2464"
"HOSPC","hospc_2013_DATA",33478,"B000000","Line(05100)", , ,"31", ,"2211", ,"2686","4928"
"Entity[33478] Report(B10000*)", , , , , ,"Entity[33478] Report(B10000*[0100])","Entity[33478] Report(B10000*[0200])","Entity[33478] Report(B10000*[0300])","Entity[33478] Report(B10000*[0400])","Entity[33478] Report(B10000*[0500])","Entity[33478] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33478,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33478,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33478,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33478,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE","MILEAGE","HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",33478,"B10000*","Line(00500)", ,"FEET","FEET","FEET", , ,"COSTS"
"Entity[33478] Report(B100000)", , , , , ,"Entity[33478] Report(B100000[0100])","Entity[33478] Report(B100000[0200])","Entity[33478] Report(B100000[0300])","Entity[33478] Report(B100000[0400])","Entity[33478] Report(B100000[0500])","Entity[33478] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00100)", ,"7200"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00200)", , ,"7200"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00300)", , , ,"7200"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00400)", , , , ,"7200"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00500)", ,"800","800","800","800","2080"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(00600)", ,"1100","1100","1100","1100","2080","232698"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(01500)", , , , , , ,"21476"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(01600)", ,"1000","1000","1000","1000", ,"118751"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(02000)", ,"800","800","800","800", ,"10114"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(02100)", ,"800","800","800","800", ,"8367"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(02400)", ,"1500","1500","1500","1500", ,"40067"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(03000)", , , , , , ,"7137"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(03100)", , , , , , ,"16528"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(03500)", , , , , , ,"6895"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(05000)", ,"400","400","400","400", ,"1121"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(05100)", ,"800","800","800","800", ,"2242"
"HOSPC","hospc_2013_DATA",33478,"B100000","Line(10000)", , ,"282", ,"19896","2242"
