"Entity[32352] Report(D000000)", , , , , ,"Entity[32352] Report(D000000[0100])","Entity[32352] Report(D000000[0200])", ,"Entity[32352] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00100)", , , , ,"92559"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00200)", , , , ,"1637"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00300)", , , , ,"57"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00400)", ,"1523"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00500)", ,"86110"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00600)", , ,"114"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00700)", , ,"6446"
"HOSPC","hospc_2013_DATA",32352,"D000000","Line(00800)", ,"28"
