"----------"," Entity 32352"," Report D000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","", , , , , , , , , , , , , , , 
"","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , , , , , 
"","-1","-2","-3","-4", , , , , , , , , , , , , , , 
 ,"Entity[32352] Report(D000000[0100])","Entity[32352] Report(D000000[0200])", ,"Entity[32352] Report(D000000[0400])", , , , , , , , , , , , , , , 
 , , , ,"92559", , , , , , , , , , , , , , , 
 , , , ,"1637", , , , , , , , , , , , , , , 
 , , , ,"57", , , , , , , , , , , , , , , 
 ,"1523", , , , , , , , , , , , , , , , , , 
 ,"86110", , , , , , , , , , , , , , , , , , 
 , ,"114", , , , , , , , , , , , , , , , , 
 , ,"6446", , , , , , , , , , , , , , , , , 
 ,"28", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
