"Entity[34086] Report(D000000)", , , , , ,"Entity[34086] Report(D000000[0100])","Entity[34086] Report(D000000[0200])", ,"Entity[34086] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00100)", , , , ,"1634549"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00200)", , , , ,"11040"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00300)", , , , ,"148"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00400)", ,"10981"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00500)", ,"1625847"
"HOSPC","hospc_2013_DATA",34086,"D000000","Line(00600)", , ,"59"
