"Entity[34086] Report(G000000)", , , , , ,"Entity[34086] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(00100)", ,"70301"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(01100)", ,"70301"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(02300)", ,"19295"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(02400)", ,"4550"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(02700)", ,"14745"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(03000)", ,"626820"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(03200)", ,"626820"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(03300)", ,"711866"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(03400)", ,"4550"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(04200)", ,"4550"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(05000)", ,"4550"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(05100)", ,"707316"
"HOSPC","hospc_2013_DATA",34086,"G000000","Line(05800)", ,"707316"
"Entity[34086] Report(G100000)", , , , ,"Entity[34086] Report(G100000[0000])","Entity[34086] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(00100)", ,"429945"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(00200)", ,"235526"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(00300)", ,"665471"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(00500)", ,"41845"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(01000)", ,"41845"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(01100)", ,"707316"
"HOSPC","hospc_2013_DATA",34086,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"Entity[34086] Report(G200001)", , , , , ,"Entity[34086] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34086,"G200001","Line(00300)", ,"2215082"
"Entity[34086] Report(G200002)", , , , ,"Entity[34086] Report(G200002[0000])", ,"Entity[34086] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34086,"G200002","Line(00100)", , ,"1979556"
"HOSPC","hospc_2013_DATA",34086,"G200002","Line(00200)","DD (SPECIFY)"
"HOSPC","hospc_2013_DATA",34086,"G200002","Line(00900)","EDUCT (SPECIFY)"
"HOSPC","hospc_2013_DATA",34086,"G200002","Line(01500)", , ,"1979556"
