"Entity[33857] Report(D000000)", , , , , ,"Entity[33857] Report(D000000[0100])", , ,"Entity[33857] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33857,"D000000","Line(00100)", , , , ,"40805"
"HOSPC","hospc_2013_DATA",33857,"D000000","Line(00200)", , , , ,"377"
"HOSPC","hospc_2013_DATA",33857,"D000000","Line(00300)", , , , ,"108"
"HOSPC","hospc_2013_DATA",33857,"D000000","Line(00400)", ,"377"
