"Entity[33898] Report(D000000)", , , , , ,"Entity[33898] Report(D000000[0100])", , ,"Entity[33898] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33898,"D000000","Line(00100)", , , , ,"309468"
"HOSPC","hospc_2013_DATA",33898,"D000000","Line(00200)", , , , ,"2794"
"HOSPC","hospc_2013_DATA",33898,"D000000","Line(00300)", , , , ,"111"
"HOSPC","hospc_2013_DATA",33898,"D000000","Line(00400)", ,"2794"
