"Entity[33312] Report(B000000)", , , , ,"Entity[33312] Report(B000000[0000])", ,"Entity[33312] Report(B000000[0200])","Entity[33312] Report(B000000[0300])", ,"Entity[33312] Report(B000000[0500])","Entity[33312] Report(B000000[0600])","Entity[33312] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(00200)","496", ,"496"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(00300)","4559", , ,"4559"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(00500)", , ,"6","54", ,"60"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(00600)","69384", ,"386","3551", ,"24","73345"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(01600)","18717", ,"49","452", , ,"48354","67572"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(02000)","927", ,"18","161", , ,"2783","3889"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(02100)","2838", ,"12","108", , ,"7443","10401"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(02400)","1194", , , , , ,"3004","4198"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(03000)","982", , , , , ,"2471","3453"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(03100)","1586", , , , , ,"3991","5577"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(03500)","1745", ,"19","179", , ,"4889","6832"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(05000)", , ,"6","54", , ,"151","211"
"HOSPC","hospc_2013_DATA",33312,"B000000","Line(05100)","67", , , , ,"36","259","362"
"Entity[33312] Report(B10000*)", , , , , ,"Entity[33312] Report(B10000*[0100])","Entity[33312] Report(B10000*[0200])","Entity[33312] Report(B10000*[0300])","Entity[33312] Report(B10000*[0400])","Entity[33312] Report(B10000*[0500])","Entity[33312] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33312,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33312,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33312,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33312,"B10000*","Line(00400)", ,"NO","SQUARE","SQUARE","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33312,"B10000*","Line(00500)", ,"STATISTICS","FEET","FEET","STATISTICS","STATISTICS","COSTS"
"Entity[33312] Report(B100000)", , , , , ,"Entity[33312] Report(B100000[0100])","Entity[33312] Report(B100000[0200])","Entity[33312] Report(B100000[0300])","Entity[33312] Report(B100000[0400])","Entity[33312] Report(B100000[0500])","Entity[33312] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00100)", ,"3816"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00200)", , ,"3816"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00300)", , , ,"3816"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00400)", , , , ,"1"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00500)", ,"45","45","45","1","594"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(00600)", ,"2973","2973","2973", ,"237","29150"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(01600)", ,"378","378","378", , ,"19218"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(02000)", ,"135","135","135", , ,"1106"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(02100)", ,"90","90","90", , ,"2958"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(02400)", , , , , , ,"1194"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(03000)", , , , , , ,"982"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(03100)", , , , , , ,"1586"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(03500)", ,"150","150","150", , ,"1943"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(05000)", ,"45","45","45", , ,"60"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(05100)", , , , , ,"357","103"
"HOSPC","hospc_2013_DATA",33312,"B100000","Line(10000)", , ,"496","4559", ,"60"
