"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35425","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35425] Report(S000000[0100])","Entity[35425] Report(S000000[0200])","Entity[35425] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S000000","Line(00100)", ,"1","06/02/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35425","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35425] Report(S100000[0100])","Entity[35425] Report(S100000[0200])","Entity[35425] Report(S100000[0300])","Entity[35425] Report(S100000[0400])","Entity[35425] Report(S100000[0500])","Entity[35425] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00100)", ,"ALTUS HOSPICE OF SOUTH TEXAS","213 W. VILLAGE BLVD; SUITE 3","LAREDO","TX","78021-2283", , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00200)", ,"WEBB", , , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00300)", ,"03/09/2009", , , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00400)", ,"03/09/2009","03/09/2009", , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00500)", ,"01/01/2013","12/31/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00600)", ,"671614", , , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00700)", ,"4", , , , , , , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(00900)", ,"7372","271","1173","32", ,"7643", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01000)", ,"4", , , , ,"4", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01100)", ,"4", ,"4", , ,"4", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01200)", ,"7380","271","1177","32", ,"7651", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01300)", ,"190","5","23","1", ,"195", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01500)", ,"39","54","51","32", ,"39", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01600)", ,"190","5","17","1", ,"195", , , , , , , , , 
"hospc_2013_DATA",35425,"S100000","Line(01800)", ,"N", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
