"Entity[33662] Report(D000000)", , , , , ,"Entity[33662] Report(D000000[0100])", ,"Entity[33662] Report(D000000[0300])","Entity[33662] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(00100)", , , , ,"420622"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(00200)", , , , ,"5189"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(00300)", , , , ,"81"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(00400)", ,"4989"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(00500)", ,"404408"
"HOSPC","hospc_2013_DATA",33662,"D000000","Line(01200)", , , ,"200"
