"Entity[34041] Report(B000000)", , , , ,"Entity[34041] Report(B000000[0000])","Entity[34041] Report(B000000[0100])","Entity[34041] Report(B000000[0200])","Entity[34041] Report(B000000[0300])", ,"Entity[34041] Report(B000000[0500])","Entity[34041] Report(B000000[0600])","Entity[34041] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(00100)","297068","297068"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(00200)","27361", ,"27361"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(00300)","142242", , ,"142242"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(00500)","46515","1347","124","645", ,"48631"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(00600)","1398158","70571","6500","33791", ,"48631","1557651"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(01000)","1366968","181925","16757","87109", , ,"474819","2127578"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(01500)","265552", , , , , ,"76290","341842"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(01600)","1074459","13737","1265","6577", , ,"314880","1410918"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(01700)","8635", , , , , ,"2481","11116"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(02000)","325987","6736","620","3225", , ,"96692","433260"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(02100)","125933","1359","125","651", , ,"36793","164861"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(02400)","411620","6344","584","3038", , ,"121117","542703"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03030)","163204", , , , , ,"46887","210091"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03031)","29709", , , , , ,"8535","38244"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03032)","147182", , , , , ,"42284","189466"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03100)","209370", , , , , ,"60150","269520"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03200)","72311", , , , , ,"20774","93085"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03300)","2958", , , , , ,"850","3808"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03400)","5263", , , , , ,"1512","6775"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03500)","51223","3420","315","1637", , ,"16259","72854"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03600)","36703", , , , , ,"10544","47247"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(03900)","649", , , , , ,"186","835"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(05000)","171850","2763","255","1323", , ,"50618","226809"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(05100)","6946","2706","249","1296", , ,"3217","14414"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(05200)","90074","1232","113","590", , ,"26433","118442"
"HOSPC","hospc_2013_DATA",34041,"B000000","Line(05300)","501607","4928","454","2360", , ,"146330","655679"
"Entity[34041] Report(B10000*)", , , , , ,"Entity[34041] Report(B10000*[0100])","Entity[34041] Report(B10000*[0200])","Entity[34041] Report(B10000*[0300])","Entity[34041] Report(B10000*[0400])","Entity[34041] Report(B10000*[0500])","Entity[34041] Report(B10000*[0600])"
