"Entity[34021] Report(S000000)", , , , , ,"Entity[34021] Report(S000000[0100])","Entity[34021] Report(S000000[0200])","Entity[34021] Report(S000000[0300])"
"HOSPC","hospc_2013_DATA",34021,"S000000","Line(00100)", ,"1","04/04/2014","N"
"Entity[34021] Report(S100000)", , , , , ,"Entity[34021] Report(S100000[0100])","Entity[34021] Report(S100000[0200])","Entity[34021] Report(S100000[0300])","Entity[34021] Report(S100000[0400])","Entity[34021] Report(S100000[0500])","Entity[34021] Report(S100000[0600])"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00100)", ,"ACCREDITED GROUP II","14520 OLD KATY RD STE 101","HOUSTON","TX","77079"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00200)", ,"HARRIS"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00300)", ,"12/31/2011"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00400)", ,"06/08/2012","06/08/2012"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00500)", ,"01/01/2013","12/31/2013"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00600)", ,"671725"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00700)", ,"4"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00800)", ,"6","2", , , ,"8"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(00900)", ,"1516", , ,"769","164","1680"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(01200)", ,"1522","2", ,"769","164","1688"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(01300)", ,"49","1", ,"1","1","51"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(01400)", ,"115"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(01500)", ,"31","2", ,"769","164","33"
"HOSPC","hospc_2013_DATA",34021,"S100000","Line(01600)", ,"49","1", ,"1","1","51"
