"Entity[34095] Report(G000000)", , , , , ,"Entity[34095] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00100)", ,"1068722"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00400)", ,"1719965"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00500)", ,"26131"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00600)", ,"32998"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00700)", ,"19514"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(00800)", ,"140500"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(01100)", ,"2941834"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(01200)", ,"1101921"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(01500)", ,"7788435"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(01600)", ,"1149584"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(01900)", ,"2275237"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(02000)", ,"1523205"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(02100)", ,"141645"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(02200)", ,"127549"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(02700)", ,"8506900"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(02800)", ,"8747494"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03100)", ,"78057"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03200)", ,"8825551"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03300)", ,"20274285"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03400)", ,"806770"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03500)", ,"706500"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(03600)", ,"45029"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(04200)", ,"1558299"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(05000)", ,"1558299"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(05100)", ,"18715986"
"HOSPC","hospc_2013_DATA",34095,"G000000","Line(05800)", ,"18715986"
"Entity[34095] Report(G100000)", , , , ,"Entity[34095] Report(G100000[0000])","Entity[34095] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(00100)", ,"18190304"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(00200)", ,"-339908"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(00300)", ,"17850396"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(00500)","ROOM AND BOARD","978171"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(01000)", ,"978171"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(01100)", ,"18828567"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(01300)","NET ASSETS RELEASED FROM RESTRICTION","112581"
"HOSPC","hospc_2013_DATA",34095,"G100000","Line(01800)", ,"112581"
"Entity[34095] Report(G200001)", , , , , ,"Entity[34095] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34095,"G200001","Line(00300)", ,"11247480"
"HOSPC","hospc_2013_DATA",34095,"G200001","Line(00400)", ,"3837293"
"HOSPC","hospc_2013_DATA",34095,"G200001","Line(00500)", ,"978171"
"Entity[34095] Report(G200002)", , , , , , ,"Entity[34095] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34095,"G200002","Line(00100)", , ,"15424681"
"HOSPC","hospc_2013_DATA",34095,"G200002","Line(01500)", , ,"15424681"
