"Entity[34088] Report(B000000)", , , , ,"Entity[34088] Report(B000000[0000])","Entity[34088] Report(B000000[0100])", , , , ,"Entity[34088] Report(B000000[0600])","Entity[34088] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(00100)","83700","83700"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(00600)","522237","83700", , , , ,"605937"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(01500)","4943", , , , , ,"15718","20661"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(01600)","54636", , , , , ,"173729","228365"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(02000)","22529", , , , , ,"71637","94166"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(02400)","26507", , , , , ,"84286","110793"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(03100)","14519", , , , , ,"46167","60686"
"HOSPC","hospc_2013_DATA",34088,"B000000","Line(05300)","67427", , , , , ,"214400","281827"
"Entity[34088] Report(B10000*)", , , , , ,"Entity[34088] Report(B10000*[0100])", , , , ,"Entity[34088] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34088,"B10000*","Line(00100)", ,"CAPITAL", , , , ,"ADMINIS-"
"HOSPC","hospc_2013_DATA",34088,"B10000*","Line(00200)", ,"BLDGS &", , , , ,"TRATIVE &"
"HOSPC","hospc_2013_DATA",34088,"B10000*","Line(00300)", ,"FIXTURES", , , , ,"GENERAL"
"HOSPC","hospc_2013_DATA",34088,"B10000*","Line(00400)", ,"SQUARE", , , , ,"ACCUM."
"HOSPC","hospc_2013_DATA",34088,"B10000*","Line(00500)", ,"FEET", , , , ,"COSTS"
"Entity[34088] Report(B100000)", , , , , ,"Entity[34088] Report(B100000[0100])", , , , ,"Entity[34088] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(00100)", ,"100"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(00600)", ,"100", , , , ,"190561"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(01500)", , , , , , ,"4943"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(01600)", , , , , , ,"54636"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(02000)", , , , , , ,"22529"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(02400)", , , , , , ,"26507"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(03100)", , , , , , ,"14519"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(05300)", , , , , , ,"67427"
"HOSPC","hospc_2013_DATA",34088,"B100000","Line(10000)", ,"83700", , , , ,"605937"
