"Entity[34046] Report(D000000)", , , , , ,"Entity[34046] Report(D000000[0100])", ,"Entity[34046] Report(D000000[0300])","Entity[34046] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(00100)", , , , ,"827043"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(00200)", , , , ,"4333"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(00300)", , , , ,"191"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(00400)", ,"3785"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(00500)", ,"722443"
"HOSPC","hospc_2013_DATA",34046,"D000000","Line(01200)", , , ,"548"
