"Entity[34005] Report(B000000)", , , , ,"Entity[34005] Report(B000000[0000])", ,"Entity[34005] Report(B000000[0200])","Entity[34005] Report(B000000[0300])", , ,"Entity[34005] Report(B000000[0600])","Entity[34005] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(00200)","45073", ,"45073"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(00300)","209661", , ,"209661"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(00600)","5789898", ,"28793","133931", , ,"5952622"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(01000)","696955", , , , , ,"524381","1221336"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(01600)","3787192", ,"9501","44196", , ,"2889840","6730729"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(01700)","63862", , , , , ,"48049","111911"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(02000)","689153", ,"2119","9856", , ,"527520","1228648"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(02400)","822172", ,"4660","21678", , ,"638409","1486919"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(02500)","296068", , , , , ,"222758","518826"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(03000)","803533", , , , , ,"604569","1408102"
"HOSPC","hospc_2013_DATA",34005,"B000000","Line(03100)","660691", , , , , ,"497096","1157787"
"Entity[34005] Report(B10000*)", , , , , , ,"Entity[34005] Report(B10000*[0200])","Entity[34005] Report(B10000*[0300])", ,"Entity[34005] Report(B10000*[0500])","Entity[34005] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34005,"B10000*","Line(00100)", , ,"CAPITAL","PLANT", ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34005,"B10000*","Line(00200)", , ,"MOVABLE","OPER. &", ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34005,"B10000*","Line(00300)", , ,"EQUIPMENT","MAINT.", ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34005,"B10000*","Line(00400)", , ,"DOLLAR","SQUARE", ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",34005,"B10000*","Line(00500)", , ,"VALUE","FEET", ,"SERVICE","COSTS"
"Entity[34005] Report(B100000)", , , , , , ,"Entity[34005] Report(B100000[0200])","Entity[34005] Report(B100000[0300])", ,"Entity[34005] Report(B100000[0500])","Entity[34005] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(00200)", , ,"8743"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(00300)", , , ,"8743"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(00500)", , , , , ,"8743"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(00600)", , ,"5585","5585", ,"5585","7911636"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(01000)", , , , , , ,"696955"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(01600)", , ,"1843","1843", ,"1843","3840889"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(01700)", , , , , , ,"63862"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(02000)", , ,"411","411", ,"411","701128"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(02400)", , ,"904","904", ,"904","848510"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(02500)", , , , , , ,"296068"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(03000)", , , , , , ,"803533"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(03100)", , , , , , ,"660691"
"HOSPC","hospc_2013_DATA",34005,"B100000","Line(10000)", , ,"45073","209661", , ,"5952622"
