"Entity[33930] Report(D000000)", , , , , ,"Entity[33930] Report(D000000[0100])", , ,"Entity[33930] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33930,"D000000","Line(00100)", , , , ,"2322689"
"HOSPC","hospc_2013_DATA",33930,"D000000","Line(00200)", , , , ,"22278"
"HOSPC","hospc_2013_DATA",33930,"D000000","Line(00300)", , , , ,"104"
"HOSPC","hospc_2013_DATA",33930,"D000000","Line(00400)", ,"22278"
