"Entity[34069] Report(D000000)", , , , , ,"Entity[34069] Report(D000000[0100])", ,"Entity[34069] Report(D000000[0300])","Entity[34069] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(00100)", , , , ,"1222473"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(00200)", , , , ,"11031"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(00300)", , , , ,"111"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(00400)", ,"10835"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(00500)", ,"1200735"
"HOSPC","hospc_2013_DATA",34069,"D000000","Line(01200)", , , ,"196"
