"Entity[33859] Report(B000000)", , , , ,"Entity[33859] Report(B000000[0000])","Entity[33859] Report(B000000[0100])","Entity[33859] Report(B000000[0200])", , ,"Entity[33859] Report(B000000[0500])","Entity[33859] Report(B000000[0600])","Entity[33859] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(00100)","28240","28240"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(00200)","46985", ,"46985"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(00500)","884","1149","1911", , ,"3944"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(00600)","1161248","16752","27873", , , ,"1205873"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(01000)","66911", , , , , ,"71259","138170"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(01600)","544419","4978","8282", , , ,"593921","1151600"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(02000)","124901","3063","5097", , , ,"141708","274769"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(02100)","94487","1149","1911", , , ,"103886","201433"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(02400)","74103","1149","1911", , , ,"82178","159341"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(03000)","97131", , , , , ,"103443","200574"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(03100)","32287", , , , , ,"34385","66672"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(03300)","484", , , , , ,"515","999"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(03400)","84", , , , , ,"89","173"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(05000)","34265", , , , ,"3105","39799","77169"
"HOSPC","hospc_2013_DATA",33859,"B000000","Line(05100)","31734", , , , ,"839","34690","67263"
"Entity[33859] Report(B10000*)", , , , , ,"Entity[33859] Report(B10000*[0100])","Entity[33859] Report(B10000*[0200])", , ,"Entity[33859] Report(B10000*[0500])","Entity[33859] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33859,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL", , ,"VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33859,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE", , ,"SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33859,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT", , ,"COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33859,"B10000*","Line(00400)", ,"SQUARE","DOLLAR", , ,"HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33859,"B10000*","Line(00500)", ,"FEET","VALUE", , ,"SERVICE","COSTS"
"Entity[33859] Report(B100000)", , , , , ,"Entity[33859] Report(B100000[0100])","Entity[33859] Report(B100000[0200])", , ,"Entity[33859] Report(B100000[0500])","Entity[33859] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(00100)", ,"1475"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(00200)", , ,"1475"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(00500)", ,"60","60", , ,"1288"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(00600)", ,"875","875", , , ,"1132290"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(01000)", , , , , , ,"66911"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(01600)", ,"260","260", , , ,"557679"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(02000)", ,"160","160", , , ,"133061"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(02100)", ,"60","60", , , ,"97547"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(02400)", ,"60","60", , , ,"77163"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(03000)", , , , , , ,"97131"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(03100)", , , , , , ,"32287"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(03300)", , , , , , ,"484"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(03400)", , , , , , ,"84"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(05000)", , , , , ,"1014","37370"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(05100)", , , , , ,"274","32573"
"HOSPC","hospc_2013_DATA",33859,"B100000","Line(10000)", ,"28240","46985", , ,"3944","1205873"
