"Entity[33859] Report(G000000)", , , , , ,"Entity[33859] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(00400)", ,"1987243"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(00500)", ,"-89"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(00600)", ,"420492"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(00800)", ,"2003"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(01100)", ,"1568665"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(01500)", ,"15626"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(01600)", ,"5120"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(02300)", ,"100864"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(02400)", ,"91454"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(02700)", ,"19916"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(03300)", ,"1588581"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(03400)", ,"1002"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(03500)", ,"313306"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(03600)", ,"10183"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(03800)", ,"324594"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(04100)", ,"701061"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(04200)", ,"1350146"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(05000)", ,"1350146"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(05100)", ,"238435"
"HOSPC","hospc_2013_DATA",33859,"G000000","Line(05800)", ,"238435"
"Entity[33859] Report(G100000)", , , , ,"Entity[33859] Report(G100000[0000])","Entity[33859] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(00100)", ,"878728"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(00200)", ,"-390289"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(00300)", ,"488439"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(00500)", ,"-250007"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(01000)", ,"-250007"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(01100)", ,"238432"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SPEC"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(01300)", ,"-3"
"HOSPC","hospc_2013_DATA",33859,"G100000","Line(01800)", ,"-3"
"Entity[33859] Report(G200001)", , , , , ,"Entity[33859] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33859,"G200001","Line(00300)", ,"1582617"
"HOSPC","hospc_2013_DATA",33859,"G200001","Line(00400)", ,"461865"
"Entity[33859] Report(G200002)", , , , ,"Entity[33859] Report(G200002[0000])","Entity[33859] Report(G200002[0100])","Entity[33859] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(00100)", , ,"2158393"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(00200)","PATIENT DEDUCTIONS","309682"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(00300)","ROUNDING"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(00800)", , ,"309682"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(00900)","OTHER INCOME","1560"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(01000)","ALLOCATED HOSPICE","31743"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(01100)","ROUNDING","1"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(01400)", , ,"33304"
"HOSPC","hospc_2013_DATA",33859,"G200002","Line(01500)", , ,"2434771"
