"Entity[33950] Report(D000000)", , , , , ,"Entity[33950] Report(D000000[0100])","Entity[33950] Report(D000000[0200])","Entity[33950] Report(D000000[0300])","Entity[33950] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00100)", , , , ,"3987342"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00200)", , , , ,"26149"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00300)", , , , ,"152"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00400)", ,"24217"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00500)", ,"3692850"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00600)", , ,"1427"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00700)", , ,"217603"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00800)", ,"7380"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(00900)", ,"1125376"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(01000)", , ,"39"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(01100)", , ,"5947"
"HOSPC","hospc_2013_DATA",33950,"D000000","Line(01200)", , , ,"505"
