"Entity[33993] Report(B000000)", , , , ,"Entity[33993] Report(B000000[0000])","Entity[33993] Report(B000000[0100])", , , ,"Entity[33993] Report(B000000[0500])","Entity[33993] Report(B000000[0600])","Entity[33993] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(00100)","23849","23849"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(00500)", ,"354", , , ,"354"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(00600)","422008","15185", , , ,"354","437547"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(01500)","46223", , , , , ,"23417","69640"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(01600)","469017","4642", , , , ,"239954","713613"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(02000)","57078","492", , , , ,"29165","86735"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(02100)","34402","177", , , , ,"17518","52097"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(02400)","112145","1583", , , , ,"57615","171343"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(03000)","58825", , , , , ,"29801","88626"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(03100)","33284", , , , , ,"16862","50146"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(03200)","1350", , , , , ,"684","2034"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(03400)","1584", , , , , ,"802","2386"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(03500)","41476","1239", , , , ,"21639","64354"
"HOSPC","hospc_2013_DATA",33993,"B000000","Line(05000)", ,"177", , , , ,"90","267"
"Entity[33993] Report(B10000*)", , , , , ,"Entity[33993] Report(B10000*[0100])","Entity[33993] Report(B10000*[0200])","Entity[33993] Report(B10000*[0300])","Entity[33993] Report(B10000*[0400])","Entity[33993] Report(B10000*[0500])","Entity[33993] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33993,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33993,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33993,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33993,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM."
"HOSPC","hospc_2013_DATA",33993,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS"
"Entity[33993] Report(B100000)", , , , , ,"Entity[33993] Report(B100000[0100])", ,"Entity[33993] Report(B100000[0300])", ,"Entity[33993] Report(B100000[0500])","Entity[33993] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(00100)", ,"2425"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(00300)", , , ,"2425"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(00500)", ,"36", ,"36", ,"208"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(00600)", ,"1544", ,"1544", ,"208","863694"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(01500)", , , , , , ,"46223"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(01600)", ,"472", ,"472", , ,"473659"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(02000)", ,"50", ,"50", , ,"57570"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(02100)", ,"18", ,"18", , ,"34579"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(02400)", ,"161", ,"161", , ,"113728"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(03000)", , , , , , ,"58825"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(03100)", , , , , , ,"33284"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(03200)", , , , , , ,"1350"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(03400)", , , , , , ,"1584"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(03500)", ,"126", ,"126", , ,"42715"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(05000)", ,"18", ,"18", , ,"177"
"HOSPC","hospc_2013_DATA",33993,"B100000","Line(10000)", ,"23849", , , ,"354"
