"Entity[34101] Report(B000000)", , , , ,"Entity[34101] Report(B000000[0000])","Entity[34101] Report(B000000[0100])","Entity[34101] Report(B000000[0200])","Entity[34101] Report(B000000[0300])", ,"Entity[34101] Report(B000000[0500])","Entity[34101] Report(B000000[0600])","Entity[34101] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(00100)","10189","10189"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(00200)","5465", ,"5465"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(00300)","6937", , ,"6937"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(00500)","88800", , , , ,"88800"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(00600)","98208","10189","5465","6937", ,"88800","209599"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(01500)","2362", , , , , ,"2780","5142"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(01600)","109993", , , , , ,"129461","239454"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(01700)","90", , , , , ,"106","196"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(02000)","7187", , , , , ,"8459","15646"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(02100)","10159", , , , , ,"11957","22116"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(02400)","23647", , , , , ,"27832","51479"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(03000)","8866", , , , , ,"10435","19301"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(03100)","13242", , , , , ,"15586","28828"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(03500)","2533", , , , , ,"2981","5514"
"HOSPC","hospc_2013_DATA",34101,"B000000","Line(05300)","2", , , , , ,"2","4"
"Entity[34101] Report(B10000*)", , , , , ,"Entity[34101] Report(B10000*[0100])","Entity[34101] Report(B10000*[0200])","Entity[34101] Report(B10000*[0300])","Entity[34101] Report(B10000*[0400])","Entity[34101] Report(B10000*[0500])","Entity[34101] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",34101,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",34101,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",34101,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",34101,"B10000*","Line(00400)", ,"SQUARE","SQUARE","SQUARE","MILEAGE","HOURS","ACCUM."
"HOSPC","hospc_2013_DATA",34101,"B10000*","Line(00500)", ,"FEET","FEET","FEET", , ,"COSTS"
"Entity[34101] Report(B100000)", , , , , ,"Entity[34101] Report(B100000[0100])","Entity[34101] Report(B100000[0200])","Entity[34101] Report(B100000[0300])","Entity[34101] Report(B100000[0400])","Entity[34101] Report(B100000[0500])","Entity[34101] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00100)", ,"100"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00200)", , ,"100"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00300)", , , ,"100"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00400)", , , , ,"100"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00500)", , , , , ,"143"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(00600)", ,"100","100","100","100","143","178081"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(01500)", , , , , , ,"2362"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(01600)", , , , , , ,"109993"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(01700)", , , , , , ,"90"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(02000)", , , , , , ,"7187"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(02100)", , , , , , ,"10159"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(02400)", , , , , , ,"23647"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(03000)", , , , , , ,"8866"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(03100)", , , , , , ,"13242"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(03500)", , , , , , ,"2533"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(05300)", , , , , , ,"2"
"HOSPC","hospc_2013_DATA",34101,"B100000","Line(10000)", ,"10189","5465","6937", ,"88800"
