"----------"," Entity 31394"," Report G000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"Assets","General","Purpose","Endowment","Plant", , , , , , , , , , , , , , , 
"(Omit cents)","Fund","Fund","Fund","Fund", , , , , , , , , , , , , , , 
"","1","2","3","4", , , , , , , , , , , , , , , 
"CURRENT  ASSETS","","","","", , , , , , , , , , , , , , , 
 ,"Entity[31394] Report(G000000[0100])", , , , , , , , , , , , , , , , , , 
 ,"197477", , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 31394"," Report G100000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","GENERAL ","SPECIFIC ","ENDOWMENT","PLANT  FUND", , , , , , , , , , , , , , 
"","","FUND","PURPOSE  FUND","FUND","", , , , , , , , , , , , , , 
"","","1","2","3","4", , , , , , , , , , , , , , 
"Entity[31394] Report(G100000[0000])","Entity[31394] Report(G100000[0100])", , , , , , , , , , , , , , , , , , 
 ,"-197477", , , , , , , , , , , , , , , , , , 
 ,"-197477", , , , , , , , , , , , , , , , , , 
"ADDITIONS (CREDIT ADJUSTMENTS)(SP", , , , , , , , , , , , , , , , , , , 
 ,"-197477", , , , , , , , , , , , , , , , , , 
"DEDUCTIONS (DEBIT ADJUSTMENTS)(SP", , , , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 31394"," Report G200002 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"PART II - OPERATING EXPENSES", , , , , , , , , , , , , , , , , , , 
 , ,"Entity[31394] Report(G200002[0200])", , , , , , , , , , , , , , , , , 
 , ,"197477", , , , , , , , , , , , , , , , , 
 , ,"197477", , , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
