"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34132","B000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34132] Report(B000000[0000])","Entity[34132] Report(B000000[0100])","Entity[34132] Report(B000000[0200])", ,"Entity[34132] Report(B000000[0400])", ,"Entity[34132] Report(B000000[0600])","Entity[34132] Report(B000000[0700])", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(00100)","88528","88528", , , , , , , , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(00200)","1830", ,"1830", , , , , , , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(00400)","6624", , , ,"6624", , , , , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(00600)","1242653","88528","1830", ,"6624", ,"1339635", , , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(01000)","151186", , , , , ,"64210","215396", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(01500)","220504", , , , , ,"93650","314154", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(01600)","678680", , , , , ,"288242","966922", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(01620)","355413", , , , , ,"150947","506360", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(02000)","54820", , , , , ,"23283","78103", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(02100)","52856", , , , , ,"22448","75304", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(02400)","189939", , , , , ,"80669","270608", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(02420)","1054", , , , , ,"448","1502", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(03000)","106996", , , , , ,"45442","152438", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(03100)","119737", , , , , ,"50853","170590", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(03200)","1278", , , , , ,"543","1821", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(03400)","300", , , , , ,"127","427", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(03500)","66758", , , , , ,"28353","95111", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(05000)","1782", , , , , ,"757","2539", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(05100)","1132", , , , , ,"481","1613", , , , , , , , 
"hospc_2013_DATA",34132,"B000000","Line(05300)","1151809", , , , , ,"489182","1640991", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34132","B10000* ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34132] Report(B10000*[0100])","Entity[34132] Report(B10000*[0200])","Entity[34132] Report(B10000*[0300])","Entity[34132] Report(B10000*[0400])", ,"Entity[34132] Report(B10000*[0600])", , , , , , , , , 
"hospc_2013_DATA",34132,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-", ,"ADMINIS-", , , , , , , , , 
"hospc_2013_DATA",34132,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-", ,"TRATIVE &", , , , , , , , , 
"hospc_2013_DATA",34132,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION", ,"GENERAL", , , , , , , , , 
"hospc_2013_DATA",34132,"B10000*","Line(00400)", ,"DOLLAR","DOLLAR","PERCENTAGE","PERCENTAGE", ,"ACCUM.", , , , , , , , , 
"hospc_2013_DATA",34132,"B10000*","Line(00500)", ,"VALUE","VALUE","E   E","E   E", ,"COSTS", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34132","B100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","CAPITAL","RELATED","","","VOLUNTEER","","","","","", , , , , 
"-------------","-------------", ,"","","RELATED","COST","PLANT","","SERVICE","","ADMINIS-","A & G","A & G","A & G", , , , , 
"-------------","-------------", ,"","","COST BLDG ","MOVABLE","OPERATION","TRANS-","COORDI-","","TRATIVE  &","SHARED","REIMB.","NON-REIMB.", , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","RECONCI-","GENERAL","COSTS","COSTS","COSTS", , , , , 
"-------------","-------------", ,"","","(SQ. FT.)","$ VALUE)","(SQ. FT.)","(MILEAGE)","(HOURS)","LIATION","(ACC. COST)","(ACC. COST)","(ACC. COST)","(ACC. COST)", , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6A","6","6.01","6.02","6.03", , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS"," "," ","","","","","",""," ","", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34132] Report(B100000[0100])","Entity[34132] Report(B100000[0200])","Entity[34132] Report(B100000[0300])","Entity[34132] Report(B100000[0400])", ,"Entity[34132] Report(B100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00000)", , , , , , ,"X", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00100)", ,"38153", , , , , , , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00200)", , ,"23231", , , , , , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00300)", , , ,"100", , , , , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00400)", , , , ,"100", , , , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(00600)", ,"38153","23231","100","100", ,"3154244", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(01000)", , , , , , ,"151186", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(01500)", , , , , , ,"220504", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(01600)", , , , , , ,"678680", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(01620)", , , , , , ,"355413", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(02000)", , , , , , ,"54820", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(02100)", , , , , , ,"52856", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(02400)", , , , , , ,"189939", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(02420)", , , , , , ,"1054", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(03000)", , , , , , ,"106996", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(03100)", , , , , , ,"119737", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(03200)", , , , , , ,"1278", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(03400)", , , , , , ,"300", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(03500)", , , , , , ,"66758", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(05000)", , , , , , ,"1782", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(05100)", , , , , , ,"1132", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(05300)", , , , , , ,"1151809", , , , , , , , , 
"hospc_2013_DATA",34132,"B100000","Line(10000)", ,"88528","1830", ,"6624", ,"1339635", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
