"Entity[33960] Report(D000000)", , , , , ,"Entity[33960] Report(D000000[0100])","Entity[33960] Report(D000000[0200])", ,"Entity[33960] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00100)", , , , ,"358582"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00200)", , , , ,"2616"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00300)", , , , ,"137"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00400)", ,"2594"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00500)", ,"355560"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00600)", , ,"22"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00700)", , ,"3016"
"HOSPC","hospc_2013_DATA",33960,"D000000","Line(00800)", ,"277"
