"Entity[33880] Report(B000000)", , , , ,"Entity[33880] Report(B000000[0000])","Entity[33880] Report(B000000[0100])","Entity[33880] Report(B000000[0200])","Entity[33880] Report(B000000[0300])", ,"Entity[33880] Report(B000000[0500])", ,"Entity[33880] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00100)","841970","841970"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00200)","1486712", ,"1486712"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00300)","628173","34850","61537","724560"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00500)","481899","1460","2577","1310", ,"487246"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00601)","9916976","408959","722124","367128", ,"248164"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00602)","6091535"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(00603)","1379945"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01000)","12819552","221075","390364","198461", ,"17978", ,"18189184"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01100)","452902", , , , , , ,"603624"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01500)","5368654","5230","9234","4695", , , ,"7180834"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01600)","14408800","81715","144288","73356", , , ,"19602906"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01620)","1374813", , , , , , ,"1832340"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(01700)","83394", , , , , , ,"111146"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(02000)","2122164","3584","6328","3217", , , ,"2845901"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(02100)","1000639","8798","15535","7898", ,"10192", ,"1390185"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(02400)","2949244", , , , ,"38117", ,"3981531"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(02420)","46754", , , , , , ,"62314"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03000)","3644171","7404","13073","6647", , , ,"4893072"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03100)","1677142","45888","81027","41194", , , ,"2459336"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03200)","228903", , , , , , ,"305080"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03300)","60840", , , , , , ,"81087"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03400)","41851", , , , , , ,"55779"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03500)","1252166","3755","6630","3371", , , ,"1687211"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03600)","26433", , , , , , ,"35229"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03700)","86438", , , , , , ,"115204"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03800)","28368", , , , , , ,"37809"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(03900)","18068", , , , , , ,"24081"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(05000)","488897","8914","15740","8002", ,"7983", ,"768530"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(05200)","649046","10338","18255","9281", ,"164812", ,"1236141"
"HOSPC","hospc_2013_DATA",33880,"B000000","Line(05300)","6927", , , , , , ,"10053"
