"Entity[33860] Report(D000000)", , , , , ,"Entity[33860] Report(D000000[0100])","Entity[33860] Report(D000000[0200])","Entity[33860] Report(D000000[0300])","Entity[33860] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00100)", , , , ,"12825754"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00200)", , , , ,"79267"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00300)", , , , ,"162"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00400)", ,"75738"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00500)", ,"12254408"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00600)", , ,"1822"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00700)", , ,"294800"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00800)", ,"13814"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(00900)", ,"2235105"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(01000)", , ,"53"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(01100)", , ,"8575"
"HOSPC","hospc_2013_DATA",33860,"D000000","Line(01200)", , , ,"1707"
