"Entity[33876] Report(D000000)", , , , , ,"Entity[33876] Report(D000000[0100])","Entity[33876] Report(D000000[0200])","Entity[33876] Report(D000000[0300])","Entity[33876] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00100)", , , , ,"2140057"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00200)", , , , ,"21392"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00300)", , , , ,"100"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00400)", ,"18906"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00500)", ,"1891356"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00600)", , ,"1085"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00700)", , ,"108543"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00800)", ,"9531"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(00900)", ,"953481"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(01000)", , ,"615"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(01100)", , ,"61525"
"HOSPC","hospc_2013_DATA",33876,"D000000","Line(01200)", , , ,"1401"
