"Entity[33583] Report(G000000)", , , , , ,"Entity[33583] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(00100)", ,"64459"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(00400)", ,"28724"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(00800)", ,"4244"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(01100)", ,"97427"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(02600)", ,"799900"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(02700)", ,"799900"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(02900)", ,"2427"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03100)", ,"45961"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03200)", ,"48388"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03300)", ,"945715"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03400)", ,"9975"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03500)", ,"7985"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03600)", ,"419"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(03700)", ,"139500"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(04200)", ,"157879"
"HOSPC","hospc_2013_DATA",33583,"G000000","Line(05100)", ,"787836"
"Entity[33583] Report(G100000)", , , , ,"Entity[33583] Report(G100000[0000])","Entity[33583] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(00100)", ,"799900"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(00200)", ,"-12064"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(00300)", ,"787836"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(00400)","ADDITIONS (CREDIT ADJUSTMENTS)(SP"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(01100)", ,"787836"
"HOSPC","hospc_2013_DATA",33583,"G100000","Line(01200)","DEDUCTIONS (DEBIT ADJUSTMENTS)(SP"
"Entity[33583] Report(G200001)", , , , , ,"Entity[33583] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",33583,"G200001","Line(00300)", ,"99605"
"Entity[33583] Report(G200002)", , , , , , ,"Entity[33583] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",33583,"G200002","Line(00100)", , ,"111669"
"HOSPC","hospc_2013_DATA",33583,"G200002","Line(01500)", , ,"111669"
