"Entity[33997] Report(D000000)", , , , , ,"Entity[33997] Report(D000000[0100])","Entity[33997] Report(D000000[0200])", ,"Entity[33997] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00100)", , , , ,"5192630"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00200)", , , , ,"17930"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00300)", , , , ,"290"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00400)", ,"15296"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00500)", ,"4429875"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00600)", , ,"2634"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00700)", , ,"762833"
"HOSPC","hospc_2013_DATA",33997,"D000000","Line(00800)", ,"1503"
