"Entity[33997] Report(B000000)", , , , ,"Entity[33997] Report(B000000[0000])","Entity[33997] Report(B000000[0100])", ,"Entity[33997] Report(B000000[0300])","Entity[33997] Report(B000000[0400])","Entity[33997] Report(B000000[0500])","Entity[33997] Report(B000000[0600])","Entity[33997] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(00100)","18314","18314"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(00300)", ,"18314", ,"18314"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(00400)","63754", , ,"18314","82068"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(00500)","11344", , , ,"38939","50283"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(00600)","1496601", , , ,"43129","50283","1590013"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01000)","28468", , , , , ,"12564","41032"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01100)","5274", , , , , ,"2328","7602"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01500)","158724", , , , , ,"70053","228777"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01600)","292851", , , , , ,"129249","422100"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01700)","2955", , , , , ,"1304","4259"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(01800)","2955", , , , , ,"1304","4259"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(02000)","31188", , , , , ,"13765","44953"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(02100)","26577", , , , , ,"11730","38307"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(02200)","5160", , , , , ,"2277","7437"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(02400)","544047", , , , , ,"240115","784162"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03000)","216630", , , , , ,"95609","312239"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03030)","54504", , , , , ,"24055","78559"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03031)","3444", , , , , ,"1520","4964"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03100)","456033", , , , , ,"201270","657303"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03200)","42234", , , , , ,"18640","60874"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03300)","10833", , , , , ,"4781","15614"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03400)","10836", , , , , ,"4782","15618"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03500)","150780", , , , , ,"66547","217327"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(03900)","1494777", , , , , ,"659721","2154498"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(05000)","44433", , , , , ,"19610","64043"
"HOSPC","hospc_2013_DATA",33997,"B000000","Line(05100)","19914", , , , , ,"8789","28703"
"Entity[33997] Report(B10000*)", , , , , ,"Entity[33997] Report(B10000*[0100])","Entity[33997] Report(B10000*[0200])","Entity[33997] Report(B10000*[0300])","Entity[33997] Report(B10000*[0400])","Entity[33997] Report(B10000*[0500])","Entity[33997] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",33997,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",33997,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",33997,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",33997,"B10000*","Line(00400)", ,"NO","NO","NO","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",33997,"B10000*","Line(00500)", ,"STATISTICS","STATISTICS","STATISTICS","STATISTICS","STATISTICS","COSTS"
"Entity[33997] Report(B100000)", , , , , ,"Entity[33997] Report(B100000[0100])", ,"Entity[33997] Report(B100000[0300])","Entity[33997] Report(B100000[0400])","Entity[33997] Report(B100000[0500])","Entity[33997] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00100)", ,"17119"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00300)", ,"17119", ,"22"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00400)", , , ,"22","4544"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00500)", , , , ,"2156","4209"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(00600)", , , , ,"2388","4209","3602617"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01000)", , , , , , ,"28468"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01100)", , , , , , ,"5274"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01500)", , , , , , ,"158724"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01600)", , , , , , ,"292851"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01700)", , , , , , ,"2955"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(01800)", , , , , , ,"2955"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(02000)", , , , , , ,"31188"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(02100)", , , , , , ,"26577"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(02200)", , , , , , ,"5160"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(02400)", , , , , , ,"544047"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03000)", , , , , , ,"216630"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03030)", , , , , , ,"54504"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03031)", , , , , , ,"3444"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03100)", , , , , , ,"456033"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03200)", , , , , , ,"42234"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03300)", , , , , , ,"10833"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03400)", , , , , , ,"10836"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03500)", , , , , , ,"150780"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(03900)", , , , , , ,"1494777"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(05000)", , , , , , ,"44433"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(05100)", , , , , , ,"19914"
"HOSPC","hospc_2013_DATA",33997,"B100000","Line(10000)", ,"18314", ,"18314","82068","50283"
