"Entity[33585] Report(D000000)", , , , , ,"Entity[33585] Report(D000000[0100])","Entity[33585] Report(D000000[0200])", ,"Entity[33585] Report(D000000[0400])"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00100)", , , , ,"493284"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00200)", , , , ,"2472"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00300)", , , , ,"200"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00400)", ,"2366"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00500)", ,"472135"
"HOSPC","hospc_2013_DATA",33585,"D000000","Line(00600)", , ,"106"
