"Entity[34043] Report(G000000)", , , , , ,"Entity[34043] Report(G000000[0100])"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(00100)", ,"698782"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(00400)", ,"673942"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(00500)", ,"-161886"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(01100)", ,"1210838"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(01500)", ,"36263"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(01600)", ,"8612"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(01900)", ,"72155"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(02000)", ,"43669"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(02700)", ,"56137"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(03300)", ,"1266975"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(03400)", ,"112421"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(03500)", ,"103808"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(04000)", ,"423"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(04200)", ,"216652"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(05000)", ,"216652"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(05100)", ,"1050323"
"HOSPC","hospc_2013_DATA",34043,"G000000","Line(05800)", ,"1050323"
"Entity[34043] Report(G100000)", , , , , ,"Entity[34043] Report(G100000[0100])"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(00100)", ,"743377"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(00200)", ,"406944"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(00300)", ,"1150321"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(01100)", ,"1150321"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(01200)", ,"99998"
"HOSPC","hospc_2013_DATA",34043,"G100000","Line(01800)", ,"99998"
"Entity[34043] Report(G200001)", , , , , ,"Entity[34043] Report(G200001[0100])"
"HOSPC","hospc_2013_DATA",34043,"G200001","Line(00400)", ,"2810226"
"Entity[34043] Report(G200002)", , , , , , ,"Entity[34043] Report(G200002[0200])"
"HOSPC","hospc_2013_DATA",34043,"G200002","Line(00100)", , ,"2403282"
"HOSPC","hospc_2013_DATA",34043,"G200002","Line(01500)", , ,"2403282"
