"----------"," Entity 32675"," Report D000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","","","","", , , , , , , , , , , , , , , 
"","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , , , , , 
"","-1","-2","-3","-4", , , , , , , , , , , , , , , 
 ,"Entity[32675] Report(D000000[0100])","Entity[32675] Report(D000000[0200])","Entity[32675] Report(D000000[0300])","Entity[32675] Report(D000000[0400])", , , , , , , , , , , , , , , 
 , , , ,"794520", , , , , , , , , , , , , , , 
 , , , ,"3876", , , , , , , , , , , , , , , 
 , , , ,"205", , , , , , , , , , , , , , , 
 ,"3607", , , , , , , , , , , , , , , , , , 
 ,"739363", , , , , , , , , , , , , , , , , , 
 , ,"128", , , , , , , , , , , , , , , , , 
 , ,"26237", , , , , , , , , , , , , , , , , 
 ,"550", , , , , , , , , , , , , , , , , , 
 ,"112739", , , , , , , , , , , , , , , , , , 
 , ,"120", , , , , , , , , , , , , , , , , 
 , ,"24598", , , , , , , , , , , , , , , , , 
 , , ,"141", , , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
