"Entity[32675] Report(B000000)", , , , ,"Entity[32675] Report(B000000[0000])","Entity[32675] Report(B000000[0100])", , , , ,"Entity[32675] Report(B000000[0600])","Entity[32675] Report(B000000[0700])"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(00100)","46","46"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(00600)","44906","29", , , , ,"44935"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(01500)","14000", , , , , ,"839","14839"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(01600)","473768","8", , , , ,"28400","502176"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(02000)","73123","4", , , , ,"4384","77511"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(02100)","21526","3", , , , ,"1291","22820"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(02400)","47062","2", , , , ,"2821","49885"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(03000)","44411", , , , , ,"2662","47073"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(03100)","18175", , , , , ,"1090","19265"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(03500)","7466", , , , , ,"448","7914"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(03900)","2113", , , , , ,"127","2240"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(05000)","33745", , , , , ,"2023","35768"
"HOSPC","hospc_2013_DATA",32675,"B000000","Line(05100)","14179", , , , , ,"850","15029"
"Entity[32675] Report(B10000*)", , , , , ,"Entity[32675] Report(B10000*[0100])","Entity[32675] Report(B10000*[0200])","Entity[32675] Report(B10000*[0300])","Entity[32675] Report(B10000*[0400])","Entity[32675] Report(B10000*[0500])","Entity[32675] Report(B10000*[0600])"
"HOSPC","hospc_2013_DATA",32675,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-"
"HOSPC","hospc_2013_DATA",32675,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &"
"HOSPC","hospc_2013_DATA",32675,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL"
"HOSPC","hospc_2013_DATA",32675,"B10000*","Line(00400)", ,"SQUARE","NO","NO","NO","NO","ACCUM."
"HOSPC","hospc_2013_DATA",32675,"B10000*","Line(00500)", ,"FEET","STATISTICS","STATISTICS","STATISTICS","STATISTICS","COSTS"
"Entity[32675] Report(B100000)", , , , , ,"Entity[32675] Report(B100000[0100])", , , , ,"Entity[32675] Report(B100000[0600])"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(00000)", , , , , , ,"X"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(00100)", ,"3600"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(00600)", ,"2300", , , , ,"749585"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(01500)", , , , , , ,"14000"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(01600)", ,"600", , , , ,"473776"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(02000)", ,"350", , , , ,"73127"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(02100)", ,"200", , , , ,"21529"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(02400)", ,"150", , , , ,"47064"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(03000)", , , , , , ,"44411"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(03100)", , , , , , ,"18175"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(03500)", , , , , , ,"7466"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(03900)", , , , , , ,"2113"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(05000)", , , , , , ,"33745"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(05100)", , , , , , ,"14179"
"HOSPC","hospc_2013_DATA",32675,"B100000","Line(10000)", ,"46"
